,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,Kali Charan Sharma,Designated Person,Qty 15000,Price 673.61,% Traded 0.02,Post Tnx Hold. 0.07%
1,"04 Jun, 2021",Disposal -  Market Sale,Adarsh Kumar Jain,Designated Person,Qty 51000,Price 672.48,% Traded 0.06,Post Tnx Hold. 0.06%
2,"04 Jun, 2021",Disposal -  Market Sale,Dilip Kumar Barnwal,Designated Person,Qty 25000,Price 674,% Traded 0.03,Post Tnx Hold. 0.07%
3,"04 Jun, 2021",Disposal -  Market Sale,Kishore Kunal,KMP,Qty 67500,Price 672.45,% Traded 0.08,Post Tnx Hold. 0.04%
4,"04 Jun, 2021",Disposal -  Market Sale,Lalit Sharma,Designated Person,Qty 90000,Price 661.9,% Traded 0.10,Post Tnx Hold. 0.05%
5,"04 Jun, 2021",Disposal -  Market Sale,Manish Mantri,Designated Person,Qty 19999,Price 669.7,% Traded 0.02,Post Tnx Hold. 0.09%
6,"13 Mar, 2020",Acquisition -  Market,Franklin Templeton Mutual Fund,Other,Qty 123507,Price 0,% Traded 0.13,Post Tnx Hold. 5.02%
7,"14 Aug, 2019",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 21000,Price 0,% Traded 0.02,Post Tnx Hold. 5.02%
8,"01 Jan, 2019",Disposal -  Market Sale,Ashish R Kacholia & PACs,Other,Qty 595000,Price 0,% Traded 0.75,Post Tnx Hold. 4.57%
9,"13 Jul, 2017",Acquisition -  Market,"BLA Finance & Investment Co,Himalaya Finance & Investment Co & Bengal Finance & Investment Pvt Ltd",Other,Qty 1000000,Price 0,% Traded 1.28,Post Tnx Hold. 5.89%
10,"17 Feb, 2017",Disposal -  Market,Anil Gupta & PACs,Promoter,Qty 1900000,Price 0,% Traded 2.44,Post Tnx Hold. 17.59%
11,"01 Dec, 2016",Disposal -  Market,IDFC Mutual Fund,Other,Qty 64435,Price 0,% Traded 0.08,Post Tnx Hold. 3.04%
