,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 Sep, 2020",Acquisition -  Market Purchase,Umesh Madhukar Joshi,Director,Qty 10000,Price 157.15,% Traded 0.01,Post Tnx Hold. 0.01%
1,"27 Jun, 2019",Acquisition -  Market Purchase,Vandana Naresh Patil,Promoter Group,Qty 832,Price 205.78,% Traded 0.00,Post Tnx Hold. 9.39%
2,"27 Jun, 2019",Acquisition -  Market Purchase,Vandana Naresh Patil,Promoter Group,Qty 10365,Price 206.44,% Traded 0.01,Post Tnx Hold. 9.4%
3,"24 Jun, 2019",Acquisition -  Market Purchase,Vandana Naresh Patil,Promoter Group,Qty 1116,Price 206.83,% Traded 0.00,Post Tnx Hold. 9.39%
4,"21 Jun, 2019",Acquisition -  Market Purchase,Vandana Naresh Patil,Promoter Group,Qty 6003,Price 206.55,% Traded 0.01,Post Tnx Hold. 9.38%
5,"21 Jun, 2019",Acquisition -  Market Purchase,Vandana Naresh Patil,Promoter Group,Qty 3631,Price 206,% Traded 0.00,Post Tnx Hold. 9.38%
6,"25 May, 2021",Disposal -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 1674736,Price 0,% Traded 2.22,Post Tnx Hold. 7%
7,"19 Dec, 2019",Acquisition -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 1624937,Price 0,% Traded 2.14,Post Tnx Hold. 9.22%
8,"16 Oct, 2018",Acquisition -  Market,Naresh A Patil,Promoter,Qty 100,Price 0,% Traded 0.00,Post Tnx Hold. 19.72%
9,"10 Oct, 2018",Acquisition -  Market,Sunita Rajesh Patil,Promoter,Qty 11222,Price 0,% Traded 0.02,Post Tnx Hold. 9.28%
10,"10 Oct, 2018",Acquisition -  Market,Vandana N Patil,Promoter,Qty 11695,Price 0,% Traded 0.02,Post Tnx Hold. 9.3%
11,"21 Jun, 2018",Acquisition -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 57483,Price 0,% Traded 0.07,Post Tnx Hold. 7.08%
