,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 Mar, 2020",Acquisition -  Market Purchase,ANIL MITTAL FAMILY TRUST TH. ITS TRUSTEE ANIL KUMAR MITTAL,Promoter Group,Qty 20000,Price 246.29,% Traded 0.01,Post Tnx Hold. 18.28%
1,"12 Mar, 2020",Acquisition -  Market Purchase,ARUN KUMAR GUPTA FAMILY TRUST TH. ITS TRUSTEE ARUN KUMAR GUPTA,Promoter Group,Qty 20000,Price 246.31,% Traded 0.01,Post Tnx Hold. 17.75%
2,"12 Mar, 2020",Acquisition -  Market Purchase,BINITA GUPTA FAMILY TRUST TH. ITS TRUSTEE ANOOP KUMAR GUPTA,Promoter Group,Qty 20000,Price 246.45,% Traded 0.01,Post Tnx Hold. 0.2%
3,"07 Mar, 2020",Acquisition -  Market Purchase,ANIL MITTAL FAMILY TRUST TH. ITS TRUSTEE ANIL KUMAR MITTAL,Promoter Group,Qty 36300,Price 262.36,% Traded 0.02,Post Tnx Hold. 18.27%
4,"07 Mar, 2020",Acquisition -  Market Purchase,ARUN KUMAR GUPTA FAMILY TRUST TH. ITS TRUSTEE ARUN KUMAR GUPTA,Promoter Group,Qty 36300,Price 262.61,% Traded 0.02,Post Tnx Hold. 17.74%
5,"07 Mar, 2020",Acquisition -  Market Purchase,BINITA GUPTA FAMILY TRUST TH. ITS TRUSTEE ANOOP KUMAR GUPTA,Promoter Group,Qty 36300,Price 262.66,% Traded 0.02,Post Tnx Hold. 0.2%
6,"30 Mar, 2020",Disposal -  Pledge,Anil Kumar Goel,Other,Qty 1087925,Price 0,% Traded 0.46,Post Tnx Hold. 4.54%
7,"12 Sep, 2017",Acquisition -  Off Market,Anil Mittal Family Trust through its Trustee Anil Kumar Mittal,Promoter,Qty 42545764,Price 0,% Traded 18.07,Post Tnx Hold. 18.07%
8,"12 Sep, 2017",Disposal -  Off Market,Ashish Mittal,Promoter,Qty 4599900,Price 0,% Traded 1.95,Post Tnx Hold. 0%
9,"12 Sep, 2017",Acquisition -  Off Market,Anoop Kumar Gupta Family Trust through it Trustee Anoop Kumar Gupta,Promoter,Qty 38849238,Price 0,% Traded 16.50,Post Tnx Hold. 16.5%
10,"12 Sep, 2017",Disposal -  Off Market,Anulika Gupta,Promoter,Qty 41293614,Price 0,% Traded 17.54,Post Tnx Hold. 0%
11,"12 Sep, 2017",Acquisition -  Off Market,Arun Kumar Gupta Family Trust through it Trustee Arun Kumar Gupta,Promoter,Qty 41293614,Price 0,% Traded 17.54,Post Tnx Hold. 17.54%
