,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2020",Acquisition -  Market Purchase,G VANAJA DEVI,Promoter & Director,Qty 30868,Price 330.79,% Traded 0.05,Post Tnx Hold. 23.34%
1,"01 Apr, 2020",Acquisition -  Market Purchase,G VANAJA DEVI,Promoter & Director,Qty 10413,Price 331.82,% Traded 0.02,Post Tnx Hold. 23.36%
2,"01 Apr, 2020",Acquisition -  Market Purchase,KAVERI EMPLOYEES TRUST,Connected Person,Qty 5000,Price 318.39,% Traded 0.01,Post Tnx Hold. 1.42%
3,"01 Apr, 2020",Acquisition -  Market Purchase,KAVERI EMPLOYEES TRUST,Connected Person,Qty 19975,Price 338.49,% Traded 0.03,Post Tnx Hold. 1.46%
4,"28 Mar, 2020",Acquisition -  Market Purchase,KAVERI EMPLOYEES TRUST,Connected Person,Qty 11875,Price 319.94,% Traded 0.02,Post Tnx Hold. 1.37%
5,"28 Mar, 2020",Acquisition -  Market Purchase,KAVERI EMPLOYEES TRUST,Connected Person,Qty 9950,Price 334.32,% Traded 0.02,Post Tnx Hold. 1.39%
6,"03 Sep, 2020",Disposal -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 1222670,Price 0,% Traded 2.02,Post Tnx Hold. 5.21%
7,"23 Jul, 2020",Disposal -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 1897577,Price 0,% Traded 2.23,Post Tnx Hold. 7.24%
8,"27 Mar, 2020",Acquisition -  Market,G. VANAJA DEVI,Promoter,Qty 35084,Price 0,% Traded 0.06,Post Tnx Hold. 23.29%
9,"10 Sep, 2018",Acquisition -  Market,Pabrai Investment Funds II LP & Others,Other,Qty 1416924,Price 0,% Traded 2.14,Post Tnx Hold. 9.48%
10,"14 Aug, 2018",Acquisition -  Market,Pabrai Investment Fund II LP & Others,Other,Qty 1372499,Price 0,% Traded 2.07,Post Tnx Hold. 7.33%
11,"13 Aug, 2018",Acquisition -  Market,Pabrai Investment Fund II LP & Other,Other,Qty 1372499,Price 0,% Traded 2.07,Post Tnx Hold. 7.33%
