,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"16 Aug, 2019",Acquisition -  Market Purchase,Genesis Exports Limited,Promoter,Qty 350000,Price 161.52,% Traded 0.32,Post Tnx Hold. 46.31%
1,"26 Feb, 2019",Acquisition -  Market Purchase,GENESIS EXPORTS LIMITED,Promoter,Qty 340000,Price 197.16,% Traded 0.31,Post Tnx Hold. 45.99%
2,"01 Oct, 2018",Disposal -  Off Market Gift,SUSHIL JHUNJHUNWALA,Promoter & Director,Qty 1000000,Price 0,% Traded 0.90,Post Tnx Hold. 3.65%
3,"01 Oct, 2018",Disposal -  Off Market Gift,AJIT JHUNJHUNWALA,Promoter & Director,Qty 1500000,Price 0,% Traded 1.35,Post Tnx Hold. 7.56%
4,"01 Oct, 2018",Acquisition -  Inter-se Transfer,SHRUTI KISHOREPURIA,Promoter,Qty 200000,Price 0,% Traded 0.18,Post Tnx Hold. 1.58%
5,"01 Oct, 2018",Acquisition -  Off Market Gift,Nidhi Jhunjhunwala,Immediate Relative,Qty 900000,Price 0,% Traded 0.81,Post Tnx Hold. 0.81%
6,"04 Feb, 2020",Acquisition -  Market,HDFC Asset Management Company Ltd,Other,Qty 343000,Price 0,% Traded 0.31,Post Tnx Hold. 5.24%
7,"28 Jan, 2020",Disposal -  Market,Jwalamukhi Investment Holdings,Other,Qty 2396067,Price 0,% Traded 2.15,Post Tnx Hold. 0%
8,"28 Jan, 2020",Disposal -  Market,Konark Trust,Other,Qty 22779,Price 0,% Traded 0.02,Post Tnx Hold. 0.01%
9,"28 Jan, 2020",Disposal -  Market,MMPL Trust,Other,Qty 2131,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"28 Jan, 2020",Disposal -  Market,"WestBridge Crossover Fund,LLC",Other,Qty 1579023,Price 0,% Traded 1.42,Post Tnx Hold. 3.1%
11,"16 Aug, 2019",Acquisition -  Market,Genesis Exports Ltd & PACs,Promoter,Qty 350000,Price 0,% Traded 0.32,Post Tnx Hold. 65.65%
