,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"24 Jun, 2020",Acquisition -  Market Purchase,Lakshmi Technology and Engineering Industries Limited,Promoter Group,Qty 17452,Price 3032.53,% Traded 0.16,Post Tnx Hold. 6.52%
1,"18 Feb, 2020",Acquisition -  Others,Adi Narayana Family Trust,Promoter Group,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
2,"18 Feb, 2020",Disposal -  Others,Sanjay Jayavarthanavelu,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 1.33%
3,"28 Nov, 2019",Acquisition -  Market Purchase,LAKSHMI TECHNOLOGY AND ENGINEERING INDUSTRIES LIMITED,Promoter Group,Qty 4000,Price 3457.12,% Traded 0.04,Post Tnx Hold. 6.36%
4,"07 Mar, 2019",Disposal -  Gift,D Thayarammal,Promoter Group,Qty 7920,Price 0,% Traded 0.07,Post Tnx Hold. 0%
5,"07 Mar, 2019",Acquisition -  Gift,Shivali Jayavarthanavelu,Promoter Group,Qty 7920,Price 0,% Traded 0.07,Post Tnx Hold. 0.07%
6,"28 Jan, 2021",Acquisition -  Market,Gagandeep Credit Capital Pvt Ltd & Others,Other,Qty 38000,Price 0,% Traded 0.36,Post Tnx Hold. 7.49%
7,"04 Mar, 2020",Acquisition -  Market,Gagandeep Credit Capital Pvt Ltd & Other,Other,Qty 50147,Price 0,% Traded 0.47,Post Tnx Hold. 5.26%
8,"18 Feb, 2020", Indirect Acquisition,Adi Narayana Family Trust & PACs,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 19.17%
9,"12 Dec, 2019",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 223352,Price 0,% Traded 2.09,Post Tnx Hold. 7.5%
10,"20 Feb, 2018",Acquisition -  Market,Shamyak Investment Pvt Ltd & Others,Other,Qty 180000,Price 0,% Traded 1.64,Post Tnx Hold. 12.63%
11,"04 Jan, 2017",Disposal -  Buy-back Offer,Anuj A Sheth,Other,Qty 14110,Price 0,% Traded 0.13,Post Tnx Hold. 1.75%
