,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,ASHOK KUMAR TODI (HUF),Promoter Group,Qty 11310,Price 0,% Traded 0.04,Post Tnx Hold. 0.04%
1,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,PRADIP KUMAR TODI (HUF),Promoter Group,Qty 13340,Price 0,% Traded 0.05,Post Tnx Hold. 0.05%
2,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,NAVIN KUMAR TODI,Promoter Group,Qty 460263,Price 0,% Traded 1.74,Post Tnx Hold. 1.53%
3,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,RAHUL KUMAR TODI,Promoter Group,Qty 460553,Price 0,% Traded 1.74,Post Tnx Hold. 1.53%
4,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,BIMLA DEVI TODI,Promoter Group,Qty 205070,Price 0,% Traded 0.77,Post Tnx Hold. 11.59%
5,"12 May, 2021",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,SHOBHA TODI,Promoter Group,Qty 205070,Price 0,% Traded 0.77,Post Tnx Hold. 9.09%
6,"12 May, 2021",Acquisition -  Scheme Of Amalgamation,Pradip Kumar Todi & PACs,Promoter,Qty 4818681,Price 0,% Traded 19.08,Post Tnx Hold. 74.39%
7,"21 Mar, 2020",Acquisition -  -,Saket Todi,Other,Qty 6000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"14 Mar, 2020",Acquisition -  ,Saket Todi,Other,Qty 6000,Price 0,% Traded 0.01,Post Tnx Hold. 0%
9,"23 Dec, 2019",Disposal -  Market,Pradip Kumar Todi & PACs,Promoter,Qty 1062166,Price 0,% Traded 4.21,Post Tnx Hold. 69.51%
10,"24 Jan, 2018",Acquisition -  ,Ashok Kumar Todi (Ashok Bimla Todi Family Trust),Promoter,Qty 3000000,Price 0,% Traded 11.88,Post Tnx Hold. 0%
11,"24 Jan, 2018",Acquisition -  ,Pradip Kumar Todi (Pradip Shobha Todi Family Trust),Promoter,Qty 2000000,Price 0,% Traded 7.92,Post Tnx Hold. 0%
