,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"25 May, 2021",Acquisition -  Market Purchase,"Participaciones Internacionales Autometal, Dos S.L",Promoter,Qty 290000,Price 18.8,% Traded 0.08,Post Tnx Hold. 60.7%
1,"24 May, 2021",Acquisition -  Market Purchase,"Participaciones Internacionales Autometal, Dos S.L",Promoter,Qty 58,Price 136.59,% Traded 0.00,Post Tnx Hold. 60.18%
2,"24 May, 2021",Acquisition -  Market Purchase,"Participaciones Internacionales Autometal, Dos S.L",Promoter,Qty 109000,Price 187.82,% Traded 0.03,Post Tnx Hold. 60.2%
3,"24 May, 2021",Acquisition -  Market Purchase,"Participaciones Internacionales Autometal, Dos S.L",Promoter,Qty 1845000,Price 188,% Traded 0.49,Post Tnx Hold. 60.69%
4,"16 Mar, 2021",Disposal -  Market Sale,Kiyath Jayaprakash Nair,KMP,Qty 8600,Price 175,% Traded 0.00,Post Tnx Hold. 0%
5,"24 Feb, 2021",Acquisition -  ESOP,Kiyath Jayaprakash Nair,KMP,Qty 8610,Price 178.1,% Traded 0.00,Post Tnx Hold. 0%
6,"25 Sep, 2020",Acquisition -  Market,Participaciones Internacionales Autometal DOC S. L,Promoter,Qty 14881342,Price 0,% Traded 3.93,Post Tnx Hold. 60.18%
7,"13 Dec, 2019",Acquisition -  Market,"ACACIA Banyan Partners,ACACIA Conservation Fund LP,ACACIA II Partners LP,ACACIA Institutional Partners LP,ACACIA Partners LP",Other,Qty 8300000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"26 Aug, 2019",Acquisition -  Market,"Acacia II Partners LP,Acacia Institutional Partners LP,Acacia Partners LP,Acacia Conservation Fund LP,Acacia Banyan Partners",Other,Qty 990000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"24 Aug, 2018",Disposal -  Market,Mahindra Vehicle Manufacturers Ltd,Promoter,Qty 3000000,Price 0,% Traded 0.79,Post Tnx Hold. 11.45%
10,"27 Jul, 2018",Disposal -  Market,Prudential Management and Services Pvt Ltd,Promoter,Qty 4784068,Price 0,% Traded 1.26,Post Tnx Hold. 0%
11,"09 Jul, 2018", Transfer,Kotak Mahindra Prime Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
