,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 May, 2021",Disposal -  Market Sale,Huafreed Nasarwanji,Designated Person,Qty 5000,Price 554.38,% Traded 0.01,Post Tnx Hold. 0%
1,"20 May, 2021",Disposal -  Market Sale,Huafreed Nasarwanji,Designated Person,Qty 1600,Price 552.4,% Traded 0.00,Post Tnx Hold. 0.01%
2,"14 May, 2021",Disposal -  Market Sale,Seema Bhaskar,Designated Person,Qty 3000,Price 555,% Traded 0.00,Post Tnx Hold. 0.03%
3,"14 May, 2021",Disposal -  Market Sale,Yogesh Patel,KMP,Qty 6928,Price 549.86,% Traded 0.01,Post Tnx Hold. 0.01%
4,"14 May, 2021",Acquisition -  ESOP,Huafreed Nasarwanji,Designated Person,Qty 1122,Price 10,% Traded 0.00,Post Tnx Hold. 0.02%
5,"14 May, 2021",Disposal -  Market Sale,Huafreed Nasarwanji,Designated Person,Qty 8000,Price 552.34,% Traded 0.01,Post Tnx Hold. 0.01%
6,"06 Aug, 2019",Acquisition -  Indirect Acquisition,Mitsubishi UFJ Financial Group (MUFG) & PACs,Other,Qty 4344027,Price 0,% Traded 6.08,Post Tnx Hold. 6.08%
7,"06 Jun, 2019",Disposal -  Market,Kedaara Capital Alternative Investment Fund & PAC,Other,Qty 273311,Price 0,% Traded 0.38,Post Tnx Hold. 0%
8,"06 Jun, 2019",Acquisition -  Market,Colonial First State Asset Management (Australia) Ltd & First State Investments (Singapore),Other,Qty 1094446,Price 0,% Traded 1.53,Post Tnx Hold. 5.99%
9,"04 Jun, 2019",Acquisition -  Market Sale,Normandy Holdings Ltd,Other,Qty 6415083,Price 0,% Traded 8.98,Post Tnx Hold. 0%
10,"04 Jun, 2019",Disposal -  Market Sale,Normandy Holdings Ltd & Kedaara Capital Alternative Investment Fund - Kedaara Capital AIF 1 (Revised),Other,Qty 6415083,Price 0,% Traded 8.98,Post Tnx Hold. 0%
11,"30 Nov, 2018",Acquisition -  Market,Partners Enterprise,Promoter,Qty 1622047,Price 0,% Traded 2.28,Post Tnx Hold. 0%
