,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jun, 2021",Disposal -  Market Sale,PADMANABH MAYDEO,Designated Person,Qty 9000,Price 485.27,% Traded 0.00,Post Tnx Hold. 0%
1,"03 Jun, 2021",Disposal -  Market Sale,SHAILESH GHODEKAR,Designated Person,Qty 3500,Price 481,% Traded 0.00,Post Tnx Hold. 0.01%
2,"18 May, 2021",Disposal -  Market Sale,SHAILESH GHODEKAR,Designated Person,Qty 1000,Price 469.35,% Traded 0.00,Post Tnx Hold. 0.01%
3,"18 May, 2021",Disposal -  Market Sale,SHAILESH GHODEKAR,Designated Person,Qty 1000,Price 481.56,% Traded 0.00,Post Tnx Hold. 0.01%
4,"18 May, 2021",Disposal -  Market Sale,SHAILESH GHODEKAR,Designated Person,Qty 5000,Price 473.41,% Traded 0.00,Post Tnx Hold. 0.01%
5,"12 May, 2021",Disposal -  Market Sale,SUDHAKAR MHASKAR,Designated Person,Qty 25000,Price 474,% Traded 0.00,Post Tnx Hold. 0.01%
6,"06 Jan, 2021",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 192695,Price 0,% Traded 0.01,Post Tnx Hold. 5%
7,"06 Aug, 2019",Acquisition -  Indirect Acquisition,Mitsubishi UFJ Financial Group (MUFG) & PACs,Other,Qty 83257600,Price 0,% Traded 6.45,Post Tnx Hold. 6.47%
8,"21 Mar, 2016",Disposal -  Market,Arisaig Partners (Asia) Pte Ltd,Other,Qty 7000000,Price 0,% Traded 0.54,Post Tnx Hold. 2.73%
9,"27 Jan, 2016",Acquisition -  Market,First State Investment Management (UK) Ltd,Other,Qty 8541442,Price 0,% Traded 0.66,Post Tnx Hold. 7.39%
10,"03 Feb, 2015",Disposal -  Market,First State Investments Management (UK) Ltd & Others,Other,Qty 406303,Price 0,% Traded 0.06,Post Tnx Hold. 5.18%
11,"28 Jan, 2015",Disposal -  Market,First State Investments Management (UK) Ltd,Other,Qty 406303,Price 0,% Traded 0.06,Post Tnx Hold. 5.18%
