,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"10 Jan, 2018",Disposal -  ESOP,MCX ESOP Trust,Other,Qty 9694,Price 851.1,% Traded 0.02,Post Tnx Hold. 0.25%
1,"09 Jan, 2017",Disposal -  ESOP,MCX ESOP Trust,Other,Qty 22589,Price 851.14,% Traded 0.04,Post Tnx Hold. 0.28%
2,"04 Nov, 2016",Disposal -  Transfer,MCX ESOP Trust,Other,Qty 12295,Price 0,% Traded 0.02,Post Tnx Hold. 0.32%
3,"04 Nov, 2016",Disposal -  ESOP,DG Praveen,Other,Qty 1950,Price 0,% Traded 0.00,Post Tnx Hold. 0%
4,"10 Oct, 2016",Disposal -  ESOP,Praveen D G,Other,Qty 2000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
5,"06 Oct, 2016",Disposal -  ESOP,Parveen Kumar Singhal,Designated Person,Qty 1000,Price 1322.52,% Traded 0.00,Post Tnx Hold. 0%
6,"29 Sep, 2014",Disposal -  Off Market,Financial Technologies (India) Ltd,,Qty 7649755,Price 0,% Traded 15.00,Post Tnx Hold. 0%
7,"29 Sep, 2014",Acquisition -  Off Market,Kotak Mahindra Bank Ltd,Other,Qty 7649755,Price 0,% Traded 15.00,Post Tnx Hold. 15%
8,"28 Aug, 2014",Disposal -  Market,Financial Technologies (India) Ltd,,Qty 2549919,Price 0,% Traded 5.00,Post Tnx Hold. 15%
9,"17 Jul, 2014",Disposal -  Market,Financial Technologies (India) Ltd,,Qty 2040901,Price 0,% Traded 4.00,Post Tnx Hold. 20%
10,"09 Jul, 2014",Disposal -  Market,Financial Technologies (India) Ltd,,Qty 1019000,Price 0,% Traded 2.00,Post Tnx Hold. 24%
