,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021",Acquisition -  ESOP,Hyder Khan,Designated Person,Qty 600,Price 705.77,% Traded 0.00,Post Tnx Hold. 0%
1,"31 May, 2021",Acquisition -  ESOP,Ajit Vetha,Designated Person,Qty 8700,Price 705.77,% Traded 0.02,Post Tnx Hold. 0.02%
2,"31 May, 2021",Acquisition -  ESOP,Gaurav Bahl,Designated Person,Qty 500,Price 705.77,% Traded 0.00,Post Tnx Hold. 0%
3,"31 May, 2021",Acquisition -  ESOP,Anupam Datta,Designated Person,Qty 1000,Price 705.77,% Traded 0.00,Post Tnx Hold. 0%
4,"31 May, 2021",Acquisition -  ESOP,Parvez Hussain,Designated Person,Qty 1300,Price 705.77,% Traded 0.00,Post Tnx Hold. 0%
5,"02 Apr, 2021",Disposal -  Market Sale,VIJENDER SINGH,KMP,Qty 100,Price 2265,% Traded 0.00,Post Tnx Hold. 0.2%
6,"05 Mar, 2021",Acquisition -  Inter-se Transfer,Duru Shah Family Trust & PACs,Promoter,Qty 1277920,Price 0,% Traded 2.50,Post Tnx Hold. 52.88%
7,"16 Jul, 2020", Release Of Pledge,Vistra ITCL India Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"26 Jun, 2020",Disposal -  Block Deal,Dr. Duru Sushil Shah & Others,Promoter,Qty 3054545,Price 0,% Traded 6.03,Post Tnx Hold. 0.48%
9,"23 Apr, 2020",Acquisition -  Market,"SMALLCAP World Fund,Inc.",Other,Qty 1195519,Price 0,% Traded 2.36,Post Tnx Hold. 7.89%
10,"22 Apr, 2020",Acquisition -  Market,"SMALLCAP World Fund,Inc.",Other,Qty 1016319,Price 0,% Traded 2.02,Post Tnx Hold. 7.6%
11,"16 Apr, 2020",Disposal -  Block Deal,CA Lotus Investments,Other,Qty 6551366,Price 0,% Traded 13.06,Post Tnx Hold. 1.25%
