,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021", Pledge Released,Max Ventures Investment Holdings Private Limited,Promoter,Qty 259200,Price 933.1,% Traded 0.08,Post Tnx Hold. 16.87%
1,"03 Jun, 2021", Pledge Released,Max Ventures Investment Holdings Private Limited,Promoter,Qty 375000,Price 936.45,% Traded 0.11,Post Tnx Hold. 16.87%
2,"31 May, 2021", Creation Of Pledge,Max Ventures Investment Holdings Private Limited,Promoter,Qty 340000,Price 943.1,% Traded 0.10,Post Tnx Hold. 16.87%
3,"31 May, 2021", Pledge Released,Max Ventures Investment Holdings Private Limited,Promoter,Qty 525400,Price 935.25,% Traded 0.15,Post Tnx Hold. 16.87%
4,"26 May, 2021", Pledge Released,Max Ventures Investment Holdings Private Limited,Promoter,Qty 495663,Price 900.35,% Traded 0.14,Post Tnx Hold. 16.87%
5,"26 May, 2021", Pledge Released,Max Ventures Investment Holdings Private Limited,Promoter,Qty 1172000,Price 928.15,% Traded 0.34,Post Tnx Hold. 16.87%
6,"14 May, 2021", Released,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"05 May, 2021", Release of Shares,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"04 May, 2021", Release of Shares,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"31 Mar, 2021",Disposal -  Market,IDBI Trusteeship Services Ltd,Other,Qty 5533037,Price 0,% Traded 1.60,Post Tnx Hold. 0.45%
10,"26 Mar, 2021",Acquisition -  Pledge,IDBI Trusteeship Services Ltd,Other,Qty 250000,Price 0,% Traded 0.08,Post Tnx Hold. 2.58%
11,"09 Mar, 2021",Disposal -  Market,Max Ventures Investment Holdings Pvt Ltd & PACs,Promoter,Qty 934138,Price 0,% Traded 0.27,Post Tnx Hold. 16.99%
