,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 Aug, 2019",Disposal -  Market Sale,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 9877780,Price 780,% Traded 10.00,Post Tnx Hold. 0%
1,"24 Aug, 2018",Disposal -  Market Sale,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 12500000,Price 852.14,% Traded 12.65,Post Tnx Hold. 11.35%
2,"24 Aug, 2018",Disposal -  Market Sale,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 1328855,Price 852.14,% Traded 1.35,Post Tnx Hold. 10%
3,"14 Apr, 2018",Disposal -  Market,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 8396075,Price 906,% Traded 8.50,Post Tnx Hold. 24%
4,"13 Apr, 2018",Disposal -  Market Sale,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 987775,Price 906,% Traded 1.00,Post Tnx Hold. 31.5%
5,"13 Apr, 2018",Disposal -  Market Sale,BG Asia Pacific Holdings Pte. Limited,Promoter,Qty 7408300,Price 906,% Traded 7.50,Post Tnx Hold. 24%
6,"23 Oct, 2020",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 50000,Price 0,% Traded 0.05,Post Tnx Hold. 5%
7,"14 Oct, 2020",Disposal -  Market,"Schroder International Selection Fund, & PACs",Other,Qty 202351,Price 0,% Traded 0.20,Post Tnx Hold. 2.92%
8,"13 Oct, 2020",Disposal -  Market,Schroder Group as Discretionary Fund Managers of Funds,Other,Qty 83460,Price 0,% Traded 0.08,Post Tnx Hold. 3.24%
9,"25 Aug, 2020",Acquisition -  Market,Vontobel Asset Management AG,Other,Qty 290000,Price 0,% Traded 0.29,Post Tnx Hold. 7.15%
10,"14 Jul, 2020",Acquisition -  Market,Vontobel Asset Management S.A.,Other,Qty 255861,Price 0,% Traded 0.26,Post Tnx Hold. 5.21%
11,"13 Jul, 2020",Acquisition -  Market,Vontobel Asset Management AG,Other,Qty 261062,Price 0,% Traded 0.26,Post Tnx Hold. 5.12%
