,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021",Acquisition -  ESOP,Kavinder Singh,Director,Qty 25000,Price 176,% Traded 0.02,Post Tnx Hold. 0%
1,"16 Jul, 2018",Acquisition -  ESOP,Krishnan Sadasivan,Other,Qty 60000,Price 176,% Traded 0.05,Post Tnx Hold. 0.06%
2,"04 Jul, 2018",Disposal -  Market Sale,Krishnan Sadasivan,Other,Qty 7888,Price 298.21,% Traded 0.01,Post Tnx Hold. 0.01%
3,"04 Jul, 2018",Disposal -  ESOP,Mahindra Holidays & Resorts India Limited Employees' Stock Option Trust,Other,Qty 20250,Price 215.33,% Traded 0.02,Post Tnx Hold. 0.49%
4,"29 Jun, 2018",Disposal -  Market Sale,Krishnan Sadasivan,Other,Qty 6017,Price 317.37,% Traded 0.00,Post Tnx Hold. 0%
5,"29 Jun, 2018",Disposal -  Market Sale,Krishnan Sadasivan,Other,Qty 100,Price 321,% Traded 0.00,Post Tnx Hold. 0.01%
6,"25 May, 2018",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 5060350,Price 0,% Traded 2.01,Post Tnx Hold. 7.34%
7,"17 Jul, 2017",Acquisition -  Bonus Issue,Mahindra & Mahindra Ltd,Promoter,Qty 29963538,Price 0,% Traded 22.48,Post Tnx Hold. 67.45%
8,"14 Mar, 2017",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 2439000,Price 0,% Traded 2.75,Post Tnx Hold. 5.33%
9,"10 Mar, 2017",Disposal -  Market,Mahindra & Mahindra Ltd,Promoter,Qty 6658565,Price 0,% Traded 7.50,Post Tnx Hold. 67.5%
