,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"13 Mar, 2021",Acquisition -  ESOP,Mr. Ashim Vohra,Designated Person,Qty 30000,Price 50,% Traded 0.01,Post Tnx Hold. 0.03%
1,"13 Mar, 2021",Disposal -  ESOP,Minda Corporation Limited Employees Stock Option Scheme Trust,Other,Qty 36000,Price 101.6,% Traded 0.02,Post Tnx Hold. 1.9%
2,"08 Feb, 2021",Acquisition -  ESOP,Mr. Mahendra Kumar Naredi,Designated Person,Qty 18000,Price 96.8,% Traded 0.01,Post Tnx Hold. 0.01%
3,"08 Feb, 2021",Disposal -  ESOP,Minda Corporation Limited Employees Stock Option Scheme Trust,Other,Qty 24000,Price 96.8,% Traded 0.01,Post Tnx Hold. 1.91%
4,"06 Oct, 2020",Acquisition -  ESOP,Mr. Laxman Ramnarayan,Director,Qty 40000,Price 72,% Traded 0.02,Post Tnx Hold. 0.06%
5,"06 Oct, 2020",Disposal -  ESOP,Minda Corporation Limited Employees Stock Option Scheme Trust,Other,Qty 40000,Price 72,% Traded 0.02,Post Tnx Hold. 2.02%
6,"15 Dec, 2020", Pref. Allotment,Ashok Minda & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 64.73%
7,"15 Mar, 2019",Acquisition -  Merger,Minda Capital Pvt Ltd,Promoter,Qty 22677136,Price 0,% Traded 9.97,Post Tnx Hold. 16.97%
8,"15 Mar, 2019", -,Minda Capital Pvt Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"29 Dec, 2018",Acquisition -  -,Ashok Minda,Other,Qty 15885100,Price 0,% Traded 6.99,Post Tnx Hold. 0%
10,"29 Dec, 2018",Acquisition -  Inter-se Transfer,Ashok Minda & PACs,Promoter,Qty 15885100,Price 0,% Traded 6.99,Post Tnx Hold. 64.67%
11,"21 Dec, 2018",Acquisition -  ,Ashok Minda,Promoter,Qty 15885100,Price 0,% Traded 6.99,Post Tnx Hold. 0%
