,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 May, 2021",Disposal -  Market Sale,Ajit Kumar,Employee,Qty 300,Price 529.3,% Traded 0.00,Post Tnx Hold. 0%
1,"04 May, 2021",Acquisition -  Market Purchase,Bimal Bedi,Employee,Qty 10,Price 530,% Traded 0.00,Post Tnx Hold. 0%
2,"27 Apr, 2021",Disposal -  Market Sale,Saurabh Jindal,Immediate Relative,Qty 6300,Price 503.99,% Traded 0.00,Post Tnx Hold. 0%
3,"01 Apr, 2021",Disposal -  Market Sale,Amit Minda,Promoter Group,Qty 3072,Price 554.19,% Traded 0.00,Post Tnx Hold. 0.47%
4,"01 Apr, 2021",Disposal -  Market Sale,Amit Minda,Promoter Group,Qty 1500,Price 551.33,% Traded 0.00,Post Tnx Hold. 0.47%
5,"01 Apr, 2021",Disposal -  Market Sale,Anand Kumar Minda,Promoter Group,Qty 500,Price 550.65,% Traded 0.00,Post Tnx Hold. 0.02%
6,"31 Mar, 2021",Acquisition -  ,Minda Investments Ltd,,Qty 3300000,Price 0,% Traded 0.12,Post Tnx Hold. 0%
7,"27 Mar, 2021",Acquisition -  Inter-se Transfer,Minda Investments Ltd & PACs,Promoter,Qty 330000,Price 0,% Traded 0.12,Post Tnx Hold. 70.88%
8,"27 Mar, 2021",Acquisition -  Inter-se Transfer,Minda Investments Ltd & PACs,Promoter,Qty 330000,Price 0,% Traded 0.12,Post Tnx Hold. 70.88%
9,"27 Mar, 2021",Acquisition -  Inter-se Transfer,Nirmal Kr Minda & PACs,Promoter,Qty 330000,Price 0,% Traded 0.12,Post Tnx Hold. 70.88%
10,"27 Mar, 2021",Disposal -  Inter-se Transfer,Nirmal Kr Minda & PACs,Promoter,Qty 330000,Price 0,% Traded 0.12,Post Tnx Hold. 70.88%
11,"26 Mar, 2021",Acquisition -  ,Minda Investments Ltd,,Qty 399997,Price 0,% Traded 0.15,Post Tnx Hold. 0%
