,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 Mar, 2018",Disposal -  Buy Back,President of India,Promoter,Qty 5458177,Price 240,% Traded 2.12,Post Tnx Hold. 56.01%
1,"30 Jan, 2017",Disposal -  Market,President of India acting through Ministry of Steel,Promoter,Qty 2663756,Price 361,% Traded 1.03,Post Tnx Hold. 56.21%
2,"27 Jan, 2017",Disposal -  Market,President of India acting through Ministry of Steel,Promoter,Qty 10655024,Price 365.39,% Traded 4.14,Post Tnx Hold. 58.21%
3,"13 Oct, 2016",Disposal -  Buy Back,Governor of Maharashtra acting through the Industries Energy & Labour Department. Government of Maharashtra,Promoter,Qty 1691333,Price 248,% Traded 0.66,Post Tnx Hold. 4.55%
4,"13 Oct, 2016",Disposal -  Buy Back,President of India acting through Ministry of Steel,Promoter,Qty 32047465,Price 248,% Traded 12.44,Post Tnx Hold. 66.21%
5,"22 Jan, 2020",Disposal -  Buy-back Offer,"President of India,acting through Ministry of Steel,Government of India",Promoter,Qty 16496768,Price 0,% Traded 6.40,Post Tnx Hold. 53.84%
6,"20 Jan, 2020",Disposal -  Buy-back Offer,"President of India,acting through Ministry of Steel,Government of India",Promoter,Qty 16496768,Price 0,% Traded 6.40,Post Tnx Hold. 53.84%
7,"28 Mar, 2018",Disposal -  Buy-back Offer,"President of India,acting through Ministry of Stee,Government of India",Promoter,Qty 5458177,Price 0,% Traded 2.12,Post Tnx Hold. 56.01%
8,"01 Feb, 2017",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 8150653,Price 0,% Traded 6.12,Post Tnx Hold. 7.43%
9,"30 Jan, 2017",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Steel,Government of India",Promoter,Qty 2663756,Price 0,% Traded 2.00,Post Tnx Hold. 56.21%
10,"27 Jan, 2017",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Steel,Government of India",Promoter,Qty 10655024,Price 0,% Traded 7.99,Post Tnx Hold. 58.21%
