,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Acquisition -  ESOP,Rohit Agarwal,Designated Person,Qty 1500,Price 572.75,% Traded 0.00,Post Tnx Hold. 0%
1,"02 Jun, 2021",Disposal -  Market Sale,Rohit Agarwal,Designated Person,Qty 1500,Price 821.13,% Traded 0.00,Post Tnx Hold. 0%
2,"25 May, 2021",Acquisition -  ESOP,Subhash Earath,Designated Person,Qty 2150,Price 572.75,% Traded 0.00,Post Tnx Hold. 0.01%
3,"05 Mar, 2021",Acquisition -  Market Purchase,Mr. Vaibhav Agrawal (Revised),Promoter Group,Qty 104378,Price 611.45,% Traded 0.07,Post Tnx Hold. 0.17%
4,"26 Feb, 2021",Acquisition -  Market Purchase,Motilal Oswal Family Trust,Promoter Group,Qty 104900,Price 611.36,% Traded 0.07,Post Tnx Hold. 0.11%
5,"26 Feb, 2021",Acquisition -  Market Purchase,Vaibhav Agrawal,Promoter Group,Qty 104399,Price 611.45,% Traded 0.07,Post Tnx Hold. 0.17%
6,"07 Dec, 2020",Acquisition -  Gift,Motilal Oswal Family Trust & PACs,Promoter,Qty 5779600,Price 0,% Traded 50.00,Post Tnx Hold. 64.06%
7,"25 Sep, 2020", Change In Percentage,Navin Agarwal,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 5.02%
8,"11 Oct, 2019",Acquisition -  Inter-se Transfer,Passionate Investment Management Pvt Ltd & PACs,Promoter,Qty 608285,Price 0,% Traded 0.41,Post Tnx Hold. 70.51%
9,"03 Oct, 2018",Disposal -  Inter-se Transfer,Motilal Oswal,Promoter,Qty 269500,Price 0,% Traded 0.18,Post Tnx Hold. 7.81%
10,"03 Oct, 2018",Acquisition -  Inter-se Transfer,Passionate Investment Management Pvt Ltd,Promoter,Qty 539000,Price 0,% Traded 0.37,Post Tnx Hold. 53.77%
11,"03 Oct, 2018",Disposal -  Inter-se Transfer,Raamdeo Agarawal,Promoter,Qty 269500,Price 0,% Traded 0.18,Post Tnx Hold. 7.55%
