,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021",Disposal -  Market Sale,Mohan Pandit,Designated Person,Qty 500,Price 1810.15,% Traded 0.00,Post Tnx Hold. 0.01%
1,"03 Jun, 2021",Disposal -  Market Sale,Mohan Pandit,Designated Person,Qty 400,Price 1868.2,% Traded 0.00,Post Tnx Hold. 0.01%
2,"03 Jun, 2021",Disposal -  Market Sale,Mohan Pandit,Designated Person,Qty 500,Price 1906.68,% Traded 0.00,Post Tnx Hold. 0.01%
3,"03 Jun, 2021",Disposal -  Market Sale,Mohan Pandit,Designated Person,Qty 3000,Price 1972.19,% Traded 0.00,Post Tnx Hold. 0.01%
4,"03 Jun, 2021",Disposal -  Market Sale,Mohan Pandit,Designated Person,Qty 553,Price 1962.25,% Traded 0.00,Post Tnx Hold. 0.01%
5,"03 Jun, 2021",Acquisition -  ESOP,Anup Nair,Designated Person,Qty 3000,Price 500,% Traded 0.00,Post Tnx Hold. 0%
6,"08 Apr, 2021",Disposal -  Market,Aberdeen Standard Investments (Asia) Ltd,Other,Qty 46000,Price 0,% Traded 0.02,Post Tnx Hold. 3.17%
7,"20 Mar, 2020",Acquisition -  Market,Marble II Pte Ltd & PACs,Promoter,Qty 7481796,Price 0,% Traded 4.01,Post Tnx Hold. 56.21%
8,"21 Jan, 2019",Acquisition -  Market,DB International Trust (Singapore) Ltd (Revised),Other,Qty 68902,Price 0,% Traded 0.00,Post Tnx Hold. 0.06%
9,"08 Jan, 2019",Acquisition -  Market,DB International Trust (Singapore) Ltd,Other,Qty 68902,Price 0,% Traded 0.00,Post Tnx Hold. 0.06%
10,"28 Dec, 2018",Disposal -  Buy Back,Marble II Pte. Ltd,Promoter,Qty 3913072,Price 0,% Traded 2.02,Post Tnx Hold. 52.29%
11,"24 Sep, 2018",Disposal -  Market,Aberdeen Standard Investments (Asia) Ltd,Other,Qty 93900,Price 0,% Traded 0.04,Post Tnx Hold. 5.2%
