,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Apr, 2021",Disposal -  Inheritance,Sara George,Directors Immediate Relative,Qty 31034420,Price 0,% Traded 7.74,Post Tnx Hold. 7.23%
1,"17 Apr, 2021",Acquisition -  Inheritance,Alexander M George,Director,Qty 15517210,Price 0,% Traded 3.87,Post Tnx Hold. 5.56%
2,"17 Apr, 2021",Acquisition -  Inheritance,George M George,Directors Immediate Relative,Qty 15517210,Price 0,% Traded 3.87,Post Tnx Hold. 5.56%
3,"07 Apr, 2021",Acquisition -  Inheritance,Sara George,Promoter Group,Qty 46551632,Price 0,% Traded 11.60,Post Tnx Hold. 14.97%
4,"01 Apr, 2021",Disposal -  Market Sale,Oomen Mammen,Designated Person,Qty 17000,Price 1226.07,% Traded 0.00,Post Tnx Hold. 0.02%
5,"27 Mar, 2021",Acquisition -  ESOP,Ranjit Ramachandran,Designated Person,Qty 4000,Price 1238,% Traded 0.00,Post Tnx Hold. 0%
6,"19 Apr, 2021",Acquisition -  Off Market / Inter se transfer,George M George & Alexander M George & PACs,Promoter,Qty 31034420,Price 0,% Traded 7.73,Post Tnx Hold. 73.4%
7,"19 Apr, 2021",Acquisition -  ,George M George & Alexander M Geroge,,Qty 31034420,Price 0,% Traded 7.73,Post Tnx Hold. 0%
8,"19 Apr, 2021",Disposal -  Off Market / Inter se transfer,George M George & Alexander M George & PACs,Promoter,Qty 31034420,Price 0,% Traded 7.73,Post Tnx Hold. 7.23%
9,"02 Apr, 2021",Acquisition -  ,George M George & Alexander M George,Other,Qty 31034420,Price 0,% Traded 7.73,Post Tnx Hold. 0%
