,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021",Acquisition -  ESOP,Aashwin Dugal,Designated Person,Qty 30446,Price 203.19,% Traded 0.00,Post Tnx Hold. 0%
1,"03 Jun, 2021",Acquisition -  ESOP,Anand Gupta,Designated Person,Qty 68321,Price 245.73,% Traded 0.01,Post Tnx Hold. 0.01%
2,"03 Jun, 2021",Acquisition -  ESOP,Ashok Nanjundaraj,Designated Person,Qty 5406,Price 204.25,% Traded 0.00,Post Tnx Hold. 0%
3,"03 Jun, 2021",Acquisition -  ESOP,Muneesh Sud,Designated Person,Qty 60000,Price 203.9,% Traded 0.01,Post Tnx Hold. 0.01%
4,"03 Jun, 2021",Acquisition -  ESOP,HARDAMAN SETH,Designated Person,Qty 20000,Price 227.92,% Traded 0.00,Post Tnx Hold. 0%
5,"03 Jun, 2021",Acquisition -  ESOP,Sailesh Raj Bhan,Designated Person,Qty 285452,Price 203.63,% Traded 0.05,Post Tnx Hold. 0.05%
6,"24 Oct, 2019", Release of Shares,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"03 Oct, 2019", Release of Shares,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"28 Sep, 2019",Disposal -  Shr.Purch.Agreement,Reliance Capital Ltd,Promoter,Qty 131817943,Price 0,% Traded 21.53,Post Tnx Hold. 4.28%
9,"27 Sep, 2019",Acquisition -  Shr.Purch.Agreement,Nippon Life Insurance Company,Promoter,Qty 131817943,Price 0,% Traded 21.54,Post Tnx Hold. 75%
10,"16 Sep, 2019", Release of Shares,IDBI Trusteeship Services Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
11,"13 Sep, 2019",Disposal -  Offer For Sale,Reliance Capital Ltd,Promoter,Qty 38610038,Price 0,% Traded 6.31,Post Tnx Hold. 25.81%
