,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"19 Feb, 2021",Disposal -  Inter-se Transfer,KOMAL SUBHADRA MADINEEDI,Immediate Relative,Qty 7350,Price 0,% Traded 0.00,Post Tnx Hold. 0%
1,"19 Feb, 2021",Acquisition -  Inter-se Transfer,SUSEELA PINNAMANENI,Immediate Relative,Qty 7350,Price 0,% Traded 0.00,Post Tnx Hold. 0%
2,"09 Feb, 2021",Acquisition -  ESOP,LAKSHMINARAYANA A,Designated Person,Qty 1850,Price 2,% Traded 0.00,Post Tnx Hold. 0.01%
3,"09 Feb, 2021",Acquisition -  ESOP,SADA SIVA RAO N,Designated Person,Qty 2100,Price 2,% Traded 0.00,Post Tnx Hold. 0.04%
4,"13 Jan, 2021",Acquisition -  ESOP,VENKATA SREENIVASABABU KURRA,Designated Person,Qty 2625,Price 2,% Traded 0.00,Post Tnx Hold. 0%
5,"04 Jan, 2021",Disposal -  Market Sale,PURANDHAR TUMMALA,Employee,Qty 4000,Price 9682.51,% Traded 0.00,Post Tnx Hold. 0.14%
6,"25 Sep, 2020",Acquisition -  Market,Time Cap Pharma Labs Pvt Ltd,Promoter,Qty 18200,Price 0,% Traded 0.01,Post Tnx Hold. 9.43%
7,"21 Dec, 2019",Acquisition -  Market,Sau Family Trust,Promoter,Qty 1700,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"21 Dec, 2019",Acquisition -  Market,VCN Family Pvt Trust,Promoter,Qty 1700,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"05 Jul, 2019",Acquisition -  -,Venkata Satya Swathi Kantamani,Other,Qty 12723340,Price 0,% Traded 7.00,Post Tnx Hold. 0%
10,"01 Jul, 2019",Disposal -  Inter-se Transfer,V C Nannapaneni,Promoter,Qty 12723340,Price 0,% Traded 7.00,Post Tnx Hold. 12.43%
11,"01 Jul, 2019",Acquisition -  Inter-se Transfer,Venkata Satya Swathi Kantamani,Promoter,Qty 12723340,Price 0,% Traded 7.00,Post Tnx Hold. 8.79%
