,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 Mar, 2021",Disposal -  Buy Back,"The President of India acting through Ministry of Mines, Government of India",Promoter,Qty 19000000,Price 57.5,% Traded 1.02,Post Tnx Hold. 51.28%
1,"11 Oct, 2019",Disposal -  Off Market,THE PRESDIENT OF INDIA,Promoter,Qty 9288506,Price 42.4,% Traded 0.50,Post Tnx Hold. 51.5%
2,"06 Dec, 2018",Disposal -  Buy Back,THE PRESIDENT OF INDIA,Promoter,Qty 34760440,Price 75,% Traded 1.80,Post Tnx Hold. 56.77%
3,"03 Jul, 2018",Disposal -  Off Market,THE PRESIDENT OF INDIA,Other,Qty 69888827,Price 0,% Traded 3.62,Post Tnx Hold. 56.59%
4,"27 Nov, 2017",Disposal -  Off Market,The President of India acting through and represented by the Ministry of Mines Government of India,Promoter,Qty 99695456,Price 78.14,% Traded 5.16,Post Tnx Hold. 60.2%
5,"24 Apr, 2017",Disposal -  Market,The President of India acting through & represented by the Ministry of Mines Government of India,Promoter,Qty 96646444,Price 98.86,% Traded 5.00,Post Tnx Hold. 67.21%
6,"01 Jun, 2021",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 37603549,Price 0,% Traded 2.05,Post Tnx Hold. 4.61%
7,"03 Jun, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 1878156,Price 0,% Traded 0.10,Post Tnx Hold. 4.87%
8,"11 Oct, 2019",Disposal -  Off Market,"The President of India,acting through and represented by the Ministry of Mines,Government of India",Promoter,Qty 9288506,Price 0,% Traded 0.50,Post Tnx Hold. 51.5%
9,"01 Mar, 2019",Disposal -  Market,ICICI Prudential Asset Mangement Company Ltd,Other,Qty 24876676,Price 0,% Traded 1.33,Post Tnx Hold. 6.96%
10,"25 Feb, 2019",Disposal -  Market,"The President of India,acting through and represented by the Ministry of Mines,Government of India",Promoter,Qty 88986323,Price 0,% Traded 4.77,Post Tnx Hold. 52%
11,"22 Feb, 2019",Acquisition -  Market,ICICI Prudential Asset Management Company Ltd,Other,Qty 88074861,Price 0,% Traded 4.72,Post Tnx Hold. 9.66%
