,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"11 May, 2021",Disposal -  ESOP,Info Edge Employees Stock Option Plan Trust,Trust,Qty 9433,Price 10,% Traded 0.01,Post Tnx Hold. 0.2%
1,"01 Apr, 2021",Disposal -  Gift,Abhinav Katiyar,Designated Person,Qty 2700,Price 0,% Traded 0.00,Post Tnx Hold. 0%
2,"01 Apr, 2021",Acquisition -  Gift,Ruchi Chawla,Immediate Relative,Qty 2700,Price 0,% Traded 0.00,Post Tnx Hold. 0%
3,"31 Mar, 2021",Disposal -  Market Sale,Swati Vashistha,Designated Person,Qty 500,Price 4411.67,% Traded 0.00,Post Tnx Hold. 0%
4,"30 Mar, 2021",Disposal -  ESOP,Info Edge Employees Stock Option Plan Trust,Trust,Qty 976,Price 10,% Traded 0.00,Post Tnx Hold. 0.2%
5,"25 Mar, 2021",Disposal -  Market Sale,Nishant Pandey,Designated Person,Qty 300,Price 4800,% Traded 0.00,Post Tnx Hold. 0.02%
6,"11 Aug, 2020",Acquisition -  Qualified Institutional Placement (qip),Dayawanti Bikhchandani & PACs,Promoter,Qty 6067961,Price 0,% Traded 0.00,Post Tnx Hold. 38.47%
7,"11 Aug, 2020",Acquisition -  Qualified Institutional Placement (qip),Hitesh Oberoi & PACs,Promoter,Qty 6067961,Price 0,% Traded 0.00,Post Tnx Hold. 38.47%
8,"11 Aug, 2020",Acquisition -  Qualified Institutional Placement (qip),Sanjeev Bikhchandani & Hitesh Oberoi Holding on behalf Endeavour HoldingTrust & PACs,Promoter,Qty 6067961,Price 0,% Traded 0.00,Post Tnx Hold. 38.47%
9,"11 Aug, 2020",Acquisition -  Qualified Institutional Placement (qip),Sanjeev Bikhchandani & PACs,Promoter,Qty 6067961,Price 0,% Traded 0.00,Post Tnx Hold. 38.47%
10,"11 Aug, 2020",Acquisition -  Qualified Institutional Placement (qip),Surabhi Motihar Bikhchandani & PACs,Promoter,Qty 6067961,Price 0,% Traded 0.00,Post Tnx Hold. 38.47%
11,"27 Feb, 2019",Acquisition -  Market,Axis Mutual Fund,Other,Qty 115000,Price 0,% Traded 0.09,Post Tnx Hold. 5.08%
