,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 May, 2021",Disposal -  Market Sale,Piyushkumar G. Vashi,Designated Person,Qty 900,Price 3201.88,% Traded 0.00,Post Tnx Hold. 0.03%
1,"13 May, 2021",Disposal -  Market Sale,Gyan Chand Jain,Designated Person,Qty 3300,Price 3259.9,% Traded 0.01,Post Tnx Hold. 0%
2,"13 May, 2021",Disposal -  Market Sale,Gyan Chand Jain,Designated Person,Qty 775,Price 3238.56,% Traded 0.00,Post Tnx Hold. 0%
3,"13 May, 2021",Disposal -  Market Sale,Roshan Adhikari,Designated Person,Qty 700,Price 3225.84,% Traded 0.00,Post Tnx Hold. 0%
4,"13 May, 2021",Disposal -  Market Sale,Niraj B. Mankad,KMP,Qty 10000,Price 3223.24,% Traded 0.02,Post Tnx Hold. 0.05%
5,"13 May, 2021",Disposal -  Market Sale,Niraj B. Mankad,KMP,Qty 2000,Price 3207,% Traded 0.00,Post Tnx Hold. 0.04%
6,"10 Mar, 2018",Acquisition -  Market,"SMALLCAP World Fund,Inc.",,Qty 2436574,Price 0,% Traded 4.93,Post Tnx Hold. 6.18%
7,"27 Jul, 2017",Acquisition -  Market,Goldman Sachs Asset Management International (Revised),Other,Qty 138615,Price 0,% Traded 1.40,Post Tnx Hold. 5.5%
8,"21 Jul, 2017",Disposal -  Market,Goldman Sachs Asset Management International,Other,Qty 541904,Price 0,% Traded 5.49,Post Tnx Hold. 0%
9,"29 Jun, 2017",Acquisition -  Market,Goldman Sachs Asset Management International,Other,Qty 138615,Price 0,% Traded 1.40,Post Tnx Hold. 5.5%
10,"28 Jun, 2017",Disposal -  Market,Mafatlal Industries Ltd,Promoter,Qty 118389,Price 0,% Traded 1.20,Post Tnx Hold. 0%
11,"28 Jun, 2017",Disposal -  Market,Nocil Ltd,Promoter,Qty 471015,Price 0,% Traded 4.81,Post Tnx Hold. 0%
