,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Feb, 2020",Disposal -  Off Market,The President of India acting through Ministry of Housing and Urban Affairs,Promoter,Qty 250920000,Price 1,% Traded 13.94,Post Tnx Hold. 51.01%
1,"07 Nov, 2019",Acquisition -  Off Market,President of India acting through Ministry of Housing and Urban Affairs Government of India,Promoter,Qty 882235,Price 1,% Traded 0.05,Post Tnx Hold. 64.95%
2,"01 Aug, 2019",Disposal -  Off Market,President of India acting through the Ministry of Housing and Urban Affairs Government of India,Promoter,Qty 42575914,Price 47.52,% Traded 2.37,Post Tnx Hold. 65.82%
3,"01 Aug, 2019",Acquisition -  Off Market,President of India acting through the Ministry of Housing and Urban Affairs Government of India,Promoter,Qty 1966703,Price 49.82,% Traded 0.11,Post Tnx Hold. 65.93%
4,"26 Mar, 2019",Disposal -  Off Market,President of India acting through the Ministry of Housing and Urban Affairs Government of India,Promoter,Qty 31093284,Price 1,% Traded 1.73,Post Tnx Hold. 67.93%
5,"12 Mar, 2019",Disposal -  Off Market,President of India acting through the Ministry of Housing and Urban Affairs Government of India,Promoter,Qty 16507062,Price 45.95,% Traded 0.92,Post Tnx Hold. 69.65%
6,"11 Feb, 2020",Acquisition -  Off Market,The President of India acting through the Ministry of Housing & Urban Affairs,Promoter,Qty 193396115,Price 0,% Traded 10.74,Post Tnx Hold. 61.75%
7,"31 Jan, 2020",Disposal -  Off Market,The President of India,Promoter,Qty 250920000,Price 0,% Traded 13.94,Post Tnx Hold. 51.01%
8,"31 Jul, 2019",Disposal -  Off Market,The President of India,Promoter,Qty 42575914,Price 0,% Traded 2.37,Post Tnx Hold. 65.82%
9,"07 Dec, 2018",Disposal -  Off Market,"The President of India,Acting through the Ministry of Housing and Urban Affairs,Government of India",Promoter,Qty 57251352,Price 0,% Traded 3.18,Post Tnx Hold. 70.57%
10,"26 Oct, 2016",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 48671293,Price 0,% Traded 8.11,Post Tnx Hold. 8.11%
11,"25 Oct, 2016",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Urban Development",Promoter,Qty 18000000,Price 0,% Traded 3.00,Post Tnx Hold. 75%
