,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"15 Feb, 2021",Disposal -  Scheme of Amalgamation/Merger/Demerger/Arrangement,NAV ENERGY PRIVATE LIMITED,Promoter Group,Qty 9947020,Price 0,% Traded 5.64,Post Tnx Hold. 0%
1,"15 Feb, 2021",Disposal -  Gift,P Trivikrama Prasad,Promoter Group,Qty 700000,Price 0,% Traded 0.40,Post Tnx Hold. 1.93%
2,"09 Sep, 2020",Acquisition -  Market Purchase,BHAKTA PRIYA DEVINENI,Promoter Group,Qty 10000,Price 60.13,% Traded 0.01,Post Tnx Hold. 5.57%
3,"02 Sep, 2020",Acquisition -  Market Purchase,A9 Homes Private Limited,Promoter Group,Qty 60000,Price 64.06,% Traded 0.03,Post Tnx Hold. 1.46%
4,"21 Aug, 2020",Acquisition -  Market Purchase,A9 Homes Private Limited,Promoter Group,Qty 50000,Price 54.99,% Traded 0.03,Post Tnx Hold. 1.43%
5,"18 Aug, 2020",Acquisition -  Market Purchase,A9 Homes Private Limited,Promoter Group,Qty 50000,Price 52.75,% Traded 0.03,Post Tnx Hold. 1.4%
6,"29 Apr, 2021", Change In Percentage,S R T Investments Pvt Ltd,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 5.08%
7,"07 Apr, 2021", Change In Percentage,D Ashok & Others,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 47.87%
8,"01 Apr, 2021", Buy Back,D Ashok,Promoter,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 43.56%
9,"15 Feb, 2021",Disposal -  Off Market Gift,D Ashok,Promoter,Qty 10647020,Price 0,% Traded 6.04,Post Tnx Hold. 43.56%
10,"12 Nov, 2018",Acquisition -  Market,IDFC Mutual Fund,Other,Qty 15654,Price 0,% Traded 0.00,Post Tnx Hold. 5%
11,"21 Apr, 2017",Disposal -  Market,"J Caird Partners,L.P. & J. Caird Investors (Bermuda) L.P",Other,Qty 1301333,Price 0,% Traded 0.73,Post Tnx Hold. 6.69%
