,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"07 May, 2021",Acquisition -  Market Purchase,SIRISHA PROJECTS PRIVATE LIMITED (Revised),Promoter,Qty 742000,Price 94.11,% Traded 0.12,Post Tnx Hold. 2.24%
1,"07 May, 2021",Disposal -  Market Sale,A S N RAJU (Revised),Promoter,Qty 742000,Price 93.2,% Traded 0.12,Post Tnx Hold. 0.83%
2,"07 May, 2021",Disposal -  Market Sale,A S N RAJU (Revised),Promoter,Qty 48000,Price 92.68,% Traded 0.01,Post Tnx Hold. 0.82%
3,"07 May, 2021",Disposal -  Market Sale,A A V RANGA RAJU (Revised),Promoter,Qty 233000,Price 92.56,% Traded 0.04,Post Tnx Hold. 2.19%
4,"07 May, 2021",Acquisition -  Market Purchase,SIRISHA PROJECTS PRIVATE LIMITED (Revised),Promoter,Qty 1071000,Price 93.34,% Traded 0.18,Post Tnx Hold. 2.41%
5,"07 May, 2021",Disposal -  Market Sale,ALLURI NARAYANA RAJU (Revised),Promoter,Qty 790000,Price 92.73,% Traded 0.13,Post Tnx Hold. 0.2%
6,"03 Dec, 2020",Acquisition -  Market,Rakesh Jhunjhunwala,Other,Qty 1000000,Price 0,% Traded 0.16,Post Tnx Hold. 13.7%
7,"17 Jun, 2020",Acquisition -  Market,AVSR Holdings Pvt Ltd,Promoter,Qty 15786000,Price 0,% Traded 2.59,Post Tnx Hold. 9%
8,"15 May, 2020",Disposal -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 19359942,Price 0,% Traded 3.17,Post Tnx Hold. 3.95%
9,"13 Dec, 2019",Acquisition -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 824000,Price 0,% Traded 0.13,Post Tnx Hold. 5%
10,"29 Nov, 2019",Disposal -  Market,Reliance Capital Trustee Co Ltd A/c through Various schmes of Nippon India Mutual Fund,Other,Qty 4248000,Price 0,% Traded 0.70,Post Tnx Hold. 4.86%
11,"17 Sep, 2019",Acquisition -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 12944500,Price 0,% Traded 2.15,Post Tnx Hold. 7.24%
