,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"06 Feb, 2020",Disposal -  Off Market,PRESIDENT OF INDIA,Promoter,Qty 20853522,Price 57.41,% Traded 1.50,Post Tnx Hold. 79.2%
1,"15 Oct, 2019",Disposal -  Off Market,PRESIDENT OF INDIA,Promoter,Qty 2046045,Price 53.09,% Traded 0.15,Post Tnx Hold. 80.7%
2,"30 Jul, 2019",Disposal -  Off Market,PRESIDENT OF INDIA,Promoter,Qty 14664119,Price 59.31,% Traded 1.06,Post Tnx Hold. 80.85%
3,"27 Mar, 2019",Disposal -  Off Market,President of India,Promoter,Qty 9831731,Price 76.05,% Traded 0.71,Post Tnx Hold. 81.91%
4,"06 Dec, 2018",Disposal -  Off Market,The President of India acting through the Ministry of Coal,Promoter,Qty 22439130,Price 10,% Traded 1.47,Post Tnx Hold. 82.8%
5,"05 Dec, 2018",Disposal -  Buy Back,The President of India acting through the Ministry of Coal Government of India,Promoter,Qty 112611825,Price 88,% Traded 7.37,Post Tnx Hold. 84.42%
6,"15 Oct, 2019",Disposal -  Off Market,"Ministry of Coal,Government of India",,Qty 2046045,Price 0,% Traded 0.15,Post Tnx Hold. 80.7%
7,"15 Oct, 2019",Disposal -  Off Market,"President of India,acting through Ministry of Coal,Government of India (Revised)",Promoter,Qty 2046045,Price 0,% Traded 0.15,Post Tnx Hold. 80.7%
8,"10 Dec, 2018",Acquisition -  Buy-back Offer,"Persident of India acting through Ministry of Coal,Government of India",Promoter,Qty 112611825,Price 0,% Traded 7.37,Post Tnx Hold. 84.42%
9,"03 Jul, 2018",Disposal -  Off Market,"The President of India,acting through & represented by the Ministry of Coal",Promoter,Qty 1457876,Price 0,% Traded 0.10,Post Tnx Hold. 83.94%
10,"10 Nov, 2017",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Coal,Government of India",Promoter,Qty 76428421,Price 0,% Traded 5.00,Post Tnx Hold. 84.32%
11,"10 Nov, 2017",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Coal,Government of India",Promoter,Qty 386080,Price 0,% Traded 0.02,Post Tnx Hold. 84.3%
