,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Dec, 2020",Disposal -  Buy Back,PRESIDENT OF INDIA,Promoter,Qty 92751257,Price 115,% Traded 0.94,Post Tnx Hold. 51.1%
1,"07 Feb, 2020",Disposal -  Off Market,THE PRESIDENT OF INDIA,Promoter,Qty 308748936,Price 10,% Traded 3.12,Post Tnx Hold. 51.02%
2,"16 Oct, 2019",Disposal -  Off Market,THE PRESIDENT OF INDIA,Promoter,Qty 36073713,Price 10,% Traded 0.36,Post Tnx Hold. 54.14%
3,"20 Aug, 2019",Disposal -  Off Market,THE PRESIDENT OF INDIA,Promoter,Qty 188247114,Price 10,% Traded 1.90,Post Tnx Hold. 54.5%
4,"02 Apr, 2019",Disposal -  Off Market,THE PRESIDENT OF INDIA ACTING THROUGH MINISTRY OF POWER,Promoter,Qty 165151343,Price 10,% Traded 1.67,Post Tnx Hold. 56.09%
5,"20 Dec, 2018",Disposal -  Off Market,The President of India acting through the Ministry of Power,Promoter,Qty 234012589,Price 10,% Traded 2.84,Post Tnx Hold. 58.93%
6,"20 Mar, 2020",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 2232433,Price 0,% Traded 0.02,Post Tnx Hold. 7.28%
7,"18 Mar, 2020",Disposal -  Market,Nippon Life India Asset Management Ltd,Other,Qty 18786970,Price 0,% Traded 0.18,Post Tnx Hold. 3.13%
8,"05 Mar, 2020",Disposal -  Off Market,"The President of India,acting through Ministry of Power,Government of India",Promoter,Qty 308748936,Price 0,% Traded 3.12,Post Tnx Hold. 51.02%
9,"05 Feb, 2020",Acquisition -  Market,Nippon Life India Trustee Ltd,Other,Qty 308775057,Price 0,% Traded 3.12,Post Tnx Hold. 5.24%
10,"18 Dec, 2018",Disposal -  Off Market,"The President of India Ministry of Power,Government of India",Promoter,Qty 234012589,Price 0,% Traded 2.84,Post Tnx Hold. 58.93%
11,"03 Jul, 2018",Acquisition -  Market,ICICI Prudential Asset Management Company Ltd,Other,Qty 41815941,Price 0,% Traded 0.51,Post Tnx Hold. 5.27%
