,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"06 Jun, 2017",Acquisition -  ESOP,Nitin Shinde,Employee,Qty 2856,Price 260,% Traded 0.00,Post Tnx Hold. 0%
1,"06 Jun, 2017",Disposal -  Market,Nitin Shinde,Employee,Qty 2200,Price 395.5,% Traded 0.00,Post Tnx Hold. 0%
2,"22 May, 2017",Acquisition -  ESOP,Vivek Bhatia,Employee,Qty 2000,Price 260,% Traded 0.00,Post Tnx Hold. 0%
3,"22 May, 2017",Disposal -  Market,Vivek Bhatia,Employee,Qty 2000,Price 399.2,% Traded 0.00,Post Tnx Hold. 0%
4,"17 May, 2017",Acquisition -  ESOP,Nitin Saglani,Employee,Qty 1607,Price 260,% Traded 0.00,Post Tnx Hold. 0%
5,"17 May, 2017",Disposal -  Market,Nitin Saglani,Employee,Qty 1607,Price 412,% Traded 0.00,Post Tnx Hold. 0%
6,"23 Mar, 2020",Acquisition -  Market,Invesco Ltd,Other,Qty 395989,Price 0,% Traded 0.02,Post Tnx Hold. 7.45%
7,"23 Mar, 2020",Acquisition -  Market,Invesco Ltd (Revised),Other,Qty 395989,Price 0,% Traded 0.11,Post Tnx Hold. 7.45%
8,"19 Mar, 2020",Acquisition -  Off Market,Invesco Oppenheimer Developing Markets Fund  & PAC Invesco Ltd,Other,Qty 4894115,Price 0,% Traded 1.34,Post Tnx Hold. 5.67%
9,"27 May, 2019",Acquisition -  The Acquisition Is On Account Of Internal Reorganization,Invesco Ltd,Other,Qty 19463199,Price 0,% Traded 5.35,Post Tnx Hold. 5.42%
10,"25 May, 2019",Disposal -  Disposal On Account Of Internal Reorganization,"Oppenheimer Funds,Inc.",Other,Qty 18251342,Price 0,% Traded 5.01,Post Tnx Hold. 0%
11,"16 May, 2019",Acquisition -  Market,"Oppenheimer Funds,Inc.",Other,Qty 115000,Price 0,% Traded 0.03,Post Tnx Hold. 5.01%
