,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"22 May, 2019",Disposal -  Off Market,The President of India,Promoter,Qty 15518943,Price 10,% Traded 1.37,Post Tnx Hold. 61.61%
1,"10 Dec, 2018",Disposal -  Off Market,The President of India acting through the Ministry of Petroleum & Natural Gas,Promoter,Qty 33320401,Price 10,% Traded 2.94,Post Tnx Hold. 63.19%
2,"16 Jun, 2017",Disposal -  Buy Back,Ministry of Petroleum and Natural Gas,Promoter,Qty 33428214,Price 340,% Traded 2.95,Post Tnx Hold. 66.13%
3,"28 Mar, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Petroleum & Natural Gas,Promoter,Qty 2351257,Price 10,% Traded 0.21,Post Tnx Hold. 66.6%
4,"31 Jan, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Petroleum & Natural Gas,Promoter,Qty 6015650,Price 10,% Traded 0.53,Post Tnx Hold. 66.89%
5,"25 Feb, 2020",Disposal -  Off Market,"The President of India,acting through the Ministry of Petroleum and Natural Gas,Government of India",Promoter,Qty 31597307,Price 0,% Traded 2.91,Post Tnx Hold. 56.66%
6,"10 Dec, 2018",Disposal -  Off Market,"The President of India,acting through the Ministry of Petroleum & Natural Gas Government of India",Promoter,Qty 33320401,Price 0,% Traded 2.94,Post Tnx Hold. 63.2%
7,"24 Oct, 2016",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 12072119,Price 0,% Traded 2.00,Post Tnx Hold. 9.05%
8,"23 Sep, 2016",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 12072119,Price 0,% Traded 2.00,Post Tnx Hold. 9.05%
9,"17 Mar, 2016",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 12268380,Price 0,% Traded 2.04,Post Tnx Hold. 7.04%
10,"25 Aug, 2015",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 1290758,Price 0,% Traded 0.21,Post Tnx Hold. 5%
