,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Mar, 2021", Pledge Released,Guild Builders Private Limited,Promoter,Qty 2774000,Price 10,% Traded 1.52,Post Tnx Hold. 62.38%
1,"04 Mar, 2021", Pledge Released,Kautilya Monetary Services Private Limited(Merge with Guild Builders Private Limited),Promoter,Qty 385000,Price 10,% Traded 0.21,Post Tnx Hold. 1.19%
2,"04 Mar, 2021", Pledge Released,Kautilya Monetary Services Private Limited(Merge with Guild Builders Private Limited),Promoter,Qty 450000,Price 10,% Traded 0.25,Post Tnx Hold. 1.19%
3,"19 Aug, 2020", Invocation Of Pledged,Guild Builders Private Limited (Revised),Promoter,Qty 2308,Price 59.45,% Traded 0.00,Post Tnx Hold. 62.39%
4,"19 Aug, 2020", Invocation Of Pledged,Guild Builders Private Limited (Revised),Promoter,Qty 19408,Price 59.35,% Traded 0.01,Post Tnx Hold. 62.38%
5,"10 Aug, 2020", Invocation Of Pledged,Guild Builders Private Limited,Promoter,Qty 2308,Price 59.45,% Traded 0.00,Post Tnx Hold. 62.39%
6,"21 Jul, 2020", Pledge,Vistra ITCL (India) Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
7,"31 May, 2018", Pledge,STCI Finance Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"28 Mar, 2018", Encumbrance Against Loan/dues,ECL Finance Ltd & Others,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"17 May, 2017",Disposal -  Scheme Of Amalgamation,J B Realcon Pvt Ltd,Promoter,Qty 650000,Price 0,% Traded 0.36,Post Tnx Hold. 0%
10,"16 May, 2017",Disposal -  Scheme Of Amalgamation,Constellation Capital Ltd,Promoter,Qty 2514900,Price 0,% Traded 1.38,Post Tnx Hold. 0%
11,"16 May, 2017",Acquisition -  Scheme Of Amalgamation,Guild Builders Pvt Ltd,Promoter,Qty 11224900,Price 0,% Traded 6.13,Post Tnx Hold. 62.57%
