,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"16 Mar, 2021",Disposal -  Market Sale,Nirmala Birla,Promoter Group,Qty 140000,Price 102.6,% Traded 0.07,Post Tnx Hold. 1.47%
1,"16 Mar, 2021",Acquisition -  Market Purchase,Ashok Investment Corporation Limited,Promoter Group,Qty 100000,Price 103.01,% Traded 0.05,Post Tnx Hold. 0.18%
2,"16 Mar, 2021",Acquisition -  Market Purchase,Shekhavati Investments and Traders Limited,Promoter,Qty 40000,Price 102.65,% Traded 0.02,Post Tnx Hold. 6.03%
3,"02 Mar, 2021", Pledge Released,Shekhavati Investments and Traders Limited,Promoter,Qty 1295000,Price 91.8,% Traded 0.63,Post Tnx Hold. 6.01%
4,"02 Mar, 2021", Pledge Released,Shekhavati Investments and Traders Limited,Promoter,Qty 350000,Price 91.8,% Traded 0.17,Post Tnx Hold. 6.01%
5,"25 Feb, 2021", Pledge Released,Central India Industries Limited,Promoter,Qty 2450000,Price 90.7,% Traded 1.20,Post Tnx Hold. 23.99%
6,"10 Jan, 2020",Acquisition -  Market,Franklin Templeton Mutual Fund,Other,Qty 550000,Price 0,% Traded 0.26,Post Tnx Hold. 7.12%
7,"19 Dec, 2018",Acquisition -  Market,Franklin Templeton Mutual Fund,Other,Qty 88259,Price 0,% Traded 0.04,Post Tnx Hold. 5.01%
8,"03 Oct, 2018",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 336310,Price 0,% Traded 0.16,Post Tnx Hold. 3%
9,"02 Apr, 2018",Acquisition -  Off Market,Shyam Sundar & Yogesh Goenka,Promoter,Qty 280000,Price 0,% Traded 0.14,Post Tnx Hold. 0%
10,"08 Dec, 2017",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 4585700,Price 0,% Traded 2.24,Post Tnx Hold. 7.27%
11,"24 Nov, 2017",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 680129,Price 0,% Traded 0.33,Post Tnx Hold. 5.04%
