,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"27 Aug, 2018",Disposal -  Market Sale,SUNDER GENOMAL,Promoter & Director,Qty 5000,Price 34683.58,% Traded 0.04,Post Tnx Hold. 16.1%
1,"27 Aug, 2018",Disposal -  Market Sale,RAMESH GENOMAL,Promoter & Director,Qty 5729,Price 34679.27,% Traded 0.05,Post Tnx Hold. 16.1%
2,"27 Aug, 2018",Disposal -  Market Sale,NARI GENOMAL,Promoter & Director,Qty 6197,Price 34675.65,% Traded 0.06,Post Tnx Hold. 16.1%
3,"21 Aug, 2018",Disposal -  Market Sale,SUNDER GENOMAL,Promoter & Director,Qty 2007,Price 33569.2,% Traded 0.02,Post Tnx Hold. 16.15%
4,"21 Aug, 2018",Disposal -  Market Sale,RAMESH GENOMAL,Promoter & Director,Qty 2010,Price 33569.74,% Traded 0.02,Post Tnx Hold. 16.16%
5,"21 Aug, 2018",Disposal -  Market Sale,NARI GENOMAL,Promoter & Director,Qty 2006,Price 33569.24,% Traded 0.02,Post Tnx Hold. 16.16%
6,"29 Apr, 2020",Acquisition -  Market Purchase,SBI Mutual Fund,,Qty 68029,Price 0,% Traded 0.60,Post Tnx Hold. 5.01%
7,"23 Jan, 2020",Disposal -  Market,Steadview Capital Mauritius Ltd & PACs,Other,Qty 8179,Price 0,% Traded 0.07,Post Tnx Hold. 4.99%
8,"15 Jul, 2019",Disposal -  Market,Cartica Capital Ltd,Other,Qty 226169,Price 0,% Traded 2.03,Post Tnx Hold. 2.98%
9,"04 Oct, 2018",Acquisition -  Market,Cartica Capital Ltd,Other,Qty 10000,Price 0,% Traded 0.09,Post Tnx Hold. 5.01%
10,"17 Aug, 2018",Disposal -  Market,Cartica Capital Ltd,Other,Qty 12000,Price 0,% Traded 0.11,Post Tnx Hold. 5.42%
11,"24 Nov, 2015",Acquisition -  Market,Steadview Capital Mauritius Ltd,Other,Qty 3700,Price 0,% Traded 0.03,Post Tnx Hold. 3.05%
