,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Oct, 2019",Disposal -  Off Market,President of India,Promoter,Qty 4283810,Price 10,% Traded 0.16,Post Tnx Hold. 56%
1,"02 Aug, 2019",Disposal -  Off Market,President of India,Promoter,Qty 76313829,Price 10,% Traded 2.89,Post Tnx Hold. 56.16%
2,"03 Apr, 2019",Disposal -  Off Market,President of India,Other,Qty 52146026,Price 10,% Traded 1.98,Post Tnx Hold. 59.05%
3,"14 Mar, 2019",Disposal -  Off Market,President of India,Other,Qty 12196071,Price 10,% Traded 0.46,Post Tnx Hold. 61.02%
4,"17 Dec, 2018",Disposal -  Off Market,The President of India Acting through the Ministry of Power,Promoter,Qty 109808544,Price 10,% Traded 4.16,Post Tnx Hold. 61.48%
5,"05 Dec, 2018",Disposal -  Market,C Ravikumar,Employee,Qty 14900,Price 101.91,% Traded 0.00,Post Tnx Hold. 0%
6,"06 Feb, 2020",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 52883863,Price 0,% Traded 2.00,Post Tnx Hold. 9.01%
7,"03 Jan, 2020",Disposal -  Market,UBS Principal Capital Asia Ltd,Other,Qty 6839000,Price 0,% Traded 0.26,Post Tnx Hold. 2.89%
8,"17 Sep, 2019",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 937845,Price 0,% Traded 0.03,Post Tnx Hold. 3.15%
9,"24 Jul, 2019",Acquisition -  Market,Reliance Capital Trustee Co Ltd A/c through various schemes of Reliance Mutual Fund,Other,Qty 76246958,Price 0,% Traded 2.88,Post Tnx Hold. 5.15%
10,"28 Feb, 2019",Acquisition -  Market,UBS Principal Capital Asia Ltd,Other,Qty 778217,Price 0,% Traded 0.03,Post Tnx Hold. 5.02%
11,"10 Jan, 2019",Disposal -  Market,Reliance Nippon Life Asset Management Ltd,Other,Qty 5437839,Price 0,% Traded 0.20,Post Tnx Hold. 3.2%
