,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 May, 2020",Acquisition -  Market Purchase,Anil Gupta,Designated Person,Qty 125,Price 4116,% Traded 0.00,Post Tnx Hold. 0%
1,"04 May, 2020",Acquisition -  Market Purchase,Anil Gupta,Designated Person,Qty 25,Price 4078.04,% Traded 0.00,Post Tnx Hold. 0%
2,"04 May, 2020",Disposal -  Market Sale,Anil Gupta,Designated Person,Qty 150,Price 4393.33,% Traded 0.00,Post Tnx Hold. 0%
3,"04 May, 2020",Acquisition -  Market Purchase,Anil Gupta,Designated Person,Qty 100,Price 4050,% Traded 0.00,Post Tnx Hold. 0%
4,"04 May, 2020",Acquisition -  Market Purchase,Anil Gupta,Designated Person,Qty 25,Price 4200,% Traded 0.00,Post Tnx Hold. 0%
5,"10 Mar, 2021",Acquisition -  Market,Life Insurance Corporation of India,Other,Qty 48244,Price 0,% Traded 0.10,Post Tnx Hold. 5.04%
6,"14 Nov, 2018",Acquisition -  Market,Aditya Birla Sun Life AMC Ltd,Other,Qty 916053,Price 0,% Traded 2.00,Post Tnx Hold. 7%
7,"14 Feb, 2017",Acquisition -  Market,Birla Sun Life Mutual Fund,Other,Qty 1350,Price 0,% Traded 0.00,Post Tnx Hold. 5%
8,"19 Dec, 2014",Acquisition -  Scheme Of Amalgamation,John Wyeth & Brother Ltd & PACs,Promoter,Qty 882000,Price 0,% Traded 1.93,Post Tnx Hold. 1.93%
9,"19 Dec, 2014",Acquisition -  Scheme Of Amalgamation,Wyeth Holdings LLC,Promoter,Qty 1630164,Price 0,% Traded 3.56,Post Tnx Hold. 3.56%
10,"19 Dec, 2014",Acquisition -  Scheme Of Amalgamation,Wyeth LLC & PACs,Promoter,Qty 5617707,Price 0,% Traded 12.28,Post Tnx Hold. 12.28%
