,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2017",Acquisition -  Inter-se Transfer,Procter & Gamble Overseas India Ltd,Promoter,Qty 1088137,Price 0.01,% Traded 3.35,Post Tnx Hold. 68.73%
1,"05 Apr, 2017",Disposal -  Inter-se Transfer,Rosemount LLC,Promoter,Qty 1088137,Price 0.01,% Traded 3.35,Post Tnx Hold. 0%
2,"01 Apr, 2017",Acquisition -  Inter-se Transfer,Procter & Gamble Overseas India Ltd,Promoter,Qty 21221953,Price 0,% Traded 65.38,Post Tnx Hold. 65.38%
3,"01 Apr, 2017",Disposal -  Inter-se Transfer,Procter & Gamble Asia Holding Ltd,Promoter,Qty 21221953,Price 0,% Traded 65.38,Post Tnx Hold. 0%
4,"05 Apr, 2017",Disposal -  Inter-se Transfer,Rosemount LLC,Promoter,Qty 1088137,Price 0,% Traded 3.35,Post Tnx Hold. 0%
5,"04 Apr, 2017",Acquisition -  -,Procter & Gamble Overseas India B.V.,Other,Qty 1088137,Price 0,% Traded 3.35,Post Tnx Hold. 0%
6,"04 Apr, 2017",Acquisition -  Inter-se Transfer,"Procter & Gamble Overseas India BV (""PGOIBV"")",Promoter,Qty 1088137,Price 0,% Traded 3.35,Post Tnx Hold. 70.64%
7,"01 Apr, 2017",Acquisition -  -,Procter & Gamble Overseas India B.V.,Other,Qty 21221953,Price 0,% Traded 65.38,Post Tnx Hold. 0%
8,"31 Mar, 2017",Acquisition -  Merger,Procter & Gamble Asia Holding B.V.,Promoter,Qty 21221953,Price 0,% Traded 65.38,Post Tnx Hold. 0%
9,"31 Mar, 2017",Acquisition -  Merger,Procter & Gamble Overseas India B.V.,Promoter,Qty 21221953,Price 0,% Traded 65.38,Post Tnx Hold. 70.64%
