,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"11 Dec, 2018",Acquisition -  Off Market,Procter & Gamble Overseas India B. V.,Promoter,Qty 8601071,Price 1500,% Traded 51.82,Post Tnx Hold. 51.81%
1,"04 Dec, 2018",Disposal -  Off Market,CHEMITRA GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,Promoter,Qty 1973441,Price 1500,% Traded 11.89,Post Tnx Hold. 0%
2,"04 Dec, 2018",Disposal -  Off Market,EMEDIA EXPORT COMPANY MIT BESCHRANKTER HAFTUNG,Promoter,Qty 3534559,Price 1500,% Traded 21.29,Post Tnx Hold. 0%
3,"04 Dec, 2018",Disposal -  Off Market,MERCK INTERNATIONALE BETEILIGUNGEN GMBH,Promoter,Qty 3091224,Price 1500,% Traded 18.62,Post Tnx Hold. 0%
4,"30 Apr, 2021",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 332072,Price 0,% Traded 2.00,Post Tnx Hold. 3.81%
5,"05 Dec, 2018",Acquisition -  Off Market,Procter & Gamble Overseas India BV,Promoter,Qty 8599224,Price 0,% Traded 51.80,Post Tnx Hold. 51.81%
6,"03 Dec, 2018",Acquisition -  Off Market,Chemitra Gesellschaft mit beschrankter Haftung,Promoter,Qty 1973441,Price 0,% Traded 11.89,Post Tnx Hold. 0%
7,"03 Dec, 2018",Acquisition -  Off Market,Emedia Export Company mit beschrankter Haftung,Promoter,Qty 3534559,Price 0,% Traded 21.29,Post Tnx Hold. 0%
8,"03 Dec, 2018",Acquisition -  Off Market,Merck Internationale Beteiligungen GmbH,Promoter,Qty 3091224,Price 0,% Traded 18.62,Post Tnx Hold. 0%
9,"15 Dec, 2014",Disposal -  Market,SBI Mutual Fund,Other,Qty 79672,Price 0,% Traded 0.48,Post Tnx Hold. 4.94%
