,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Jun, 2021",Acquisition -  ESOP,Vidyasagar Pingali,Designated Person,Qty 4000,Price 769.1,% Traded 0.00,Post Tnx Hold. 0.01%
1,"17 Apr, 2021",Acquisition -  ESOP,Amit Kumar,Designated Person,Qty 2000,Price 718.55,% Traded 0.00,Post Tnx Hold. 0.01%
2,"26 Mar, 2021",Acquisition -  ESOP,RAJENDRA KALKAR,Director,Qty 3000,Price 769.7,% Traded 0.00,Post Tnx Hold. 0%
3,"26 Mar, 2021",Acquisition -  ESOP,RASHMI SEN,Designated Person,Qty 3500,Price 769.7,% Traded 0.00,Post Tnx Hold. 0%
4,"14 Mar, 2021",Disposal -  Market Sale,Vidyasagar Pingali,Designated Person,Qty 1200,Price 795.82,% Traded 0.00,Post Tnx Hold. 0.01%
5,"14 Mar, 2021",Disposal -  Market Sale,Vidyasagar Pingali,Designated Person,Qty 5000,Price 795.14,% Traded 0.00,Post Tnx Hold. 0%
6,"26 Aug, 2020",Disposal -  Market,Radhakrishna Ramnarain Pvt Ltd & Senior Advisory Services Pvt Ltd & PACs,Promoter,Qty 12500000,Price 0,% Traded 7.28,Post Tnx Hold. 45.57%
7,"17 Apr, 2020",Acquisition -  Market,Schroder Investment Management Ltd & PACs,Other,Qty 2826865,Price 0,% Traded 1.84,Post Tnx Hold. 5.57%
8,"01 Oct, 2019",Acquisition -  Market,Amla Ashokkumar Ruia & Others,Promoter,Qty 5501395,Price 0,% Traded 3.59,Post Tnx Hold. 59.16%
9,"24 Jul, 2018",Disposal -  Market,FMR LLC,Other,Qty 170305,Price 0,% Traded 0.11,Post Tnx Hold. 3.01%
10,"05 Feb, 2018",Acquisition -  -,Atul Ruia,Other,Qty 765545,Price 0,% Traded 0.50,Post Tnx Hold. 0%
11,"01 Feb, 2018",Disposal -  Inter-se Transfer / Gift,Ashokkumar Ruia,Promoter,Qty 765545,Price 0,% Traded 0.50,Post Tnx Hold. 1.89%
