,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Mar, 2021",Disposal -  ESOP,"Mr. Ajay Kumar Sharma, Trustee",Trust,Qty 5891,Price 615,% Traded 0.00,Post Tnx Hold. 0.06%
1,"20 Feb, 2021",Disposal -  ESOP,"Mr. Ajay Kumar Sharma, Trustee",Trust,Qty 4156,Price 732.65,% Traded 0.00,Post Tnx Hold. 0.06%
2,"29 Dec, 2020",Disposal -  ESOP,"Mr. Ajay Kumar Sharma, Trustee",Trust,Qty 3741,Price 565.51,% Traded 0.00,Post Tnx Hold. 0.07%
3,"14 Dec, 2020",Disposal -  ESOP,Ajay Kumar Sharma,Trust,Qty 11608,Price 418.35,% Traded 0.01,Post Tnx Hold. 0.07%
4,"14 Dec, 2020",Disposal -  ESOP,Ajay Kumar Sharma,Trust,Qty 3127,Price 644.42,% Traded 0.00,Post Tnx Hold. 0.07%
5,"14 Dec, 2020",Acquisition -  ESOP,Sushil Kumar Kharakwal,Employee,Qty 5645,Price 744,% Traded 0.00,Post Tnx Hold. 0.01%
6,"24 Oct, 2017",Disposal -  Market,Cartica Capital Ltd,Other,Qty 2928729,Price 0,% Traded 2.17,Post Tnx Hold. 3.51%
7,"26 Jul, 2017",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 270647,Price 0,% Traded 0.20,Post Tnx Hold. 5.13%
8,"19 Nov, 2016",Acquisition -  -,Madhu Singhal with Shefali Khushalani,Other,Qty 3634450,Price 0,% Traded 2.64,Post Tnx Hold. 0%
9,"17 Nov, 2016",Acquisition -  -,Madhu Singhal with Mayank Singhal,Other,Qty 10305400,Price 0,% Traded 7.49,Post Tnx Hold. 0%
10,"17 Nov, 2016",Acquisition -  Inter-se Transfer,Madhu Singhal with Mayank Singhal,Promoter,Qty 10305400,Price 0,% Traded 7.49,Post Tnx Hold. 9.92%
11,"17 Nov, 2016",Acquisition -  -,Madhu Singhal With Pooja Singhal,Other,Qty 3634450,Price 0,% Traded 2.64,Post Tnx Hold. 0%
