,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Jul, 2018",Disposal -  Scheme of Amalgamation/Merger/Demerger/Arrangement,PPPL CONSTRUCTIONS PRIVATE LIMITED,Promoter Group,Qty 23921250,Price 0,% Traded 9.32,Post Tnx Hold. 0%
1,"04 Jul, 2018",Acquisition -  Scheme of Amalgamation/Merger/Demerger/Arrangement,NCJ INFRASTRUCTURE PRIVATE LIMITED,Promoter Group,Qty 23921250,Price 0,% Traded 9.32,Post Tnx Hold. 0.1%
2,"04 Nov, 2017",Disposal -  Off Market / Inter se transfer,Renu Jain Revised,Promoter,Qty 11671500,Price 0,% Traded 4.55,Post Tnx Hold. 0%
3,"04 Nov, 2017",Acquisition -  Off Market / Inter se transfer,Vaibhav Jain,Promoter,Qty 11671500,Price 0,% Traded 4.55,Post Tnx Hold. 4.55%
4,"09 Sep, 2017",Disposal -  Off Market / Inter se transfer,Pradeep Kumar Jain,Promoter,Qty 1013625,Price 0,% Traded 0.40,Post Tnx Hold. 5.98%
5,"09 Sep, 2017",Acquisition -  Off Market / Inter se transfer,Naveen Kumar Jain,Promoter,Qty 337875,Price 0,% Traded 0.13,Post Tnx Hold. 7.05%
6,"12 Jan, 2021",Acquisition -  Market,ICICI Prudential Mutual Fund,Other,Qty 176896,Price 0,% Traded 0.07,Post Tnx Hold. 5.05%
7,"11 Jan, 2021",Acquisition -  Market,ICICI Prudentia Mutual Fund,Other,Qty 176896,Price 0,% Traded 0.07,Post Tnx Hold. 5.05%
8,"08 Jan, 2021",Disposal -  Market,CN Infrabuild Pvt Ltd,Other,Qty 25534008,Price 0,% Traded 9.95,Post Tnx Hold. 0%
9,"28 Nov, 2019",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 5231856,Price 0,% Traded 2.04,Post Tnx Hold. 7.22%
10,"12 Dec, 2018",Disposal -  Market,HDFC Trustee Company Ltd,Other,Qty 5246964,Price 0,% Traded 2.04,Post Tnx Hold. 5.18%
11,"04 Jul, 2018",Acquisition -  -,NCJ Infrastructure Pvt Ltd,Other,Qty 23921250,Price 0,% Traded 9.32,Post Tnx Hold. 0%
