,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 May, 2021",Disposal -  ESOP,CHETAN VASANT DESHMUKH,Employee,Qty 1250,Price 1644.45,% Traded 0.00,Post Tnx Hold. 0%
1,"03 May, 2021",Disposal -  Market Sale,ASHISH ANEKAR,Employee,Qty 1500,Price 1350,% Traded 0.00,Post Tnx Hold. 0%
2,"31 Mar, 2021",Disposal -  Inter-se Transfer,Girdhari Jaisinghani,Promoter,Qty 1200000,Price 1390.7,% Traded 0.80,Post Tnx Hold. 12.23%
3,"31 Mar, 2021",Acquisition -  Inter-se Transfer,Girdhari Juhi Trust,Trust,Qty 400000,Price 1390.7,% Traded 0.27,Post Tnx Hold. 0.67%
4,"31 Mar, 2021",Acquisition -  Inter-se Transfer,Girdhari Karina Trust,Trust,Qty 400000,Price 1390.7,% Traded 0.27,Post Tnx Hold. 0.67%
5,"31 Mar, 2021",Acquisition -  Inter-se Transfer,Girdhari Reshma Trust,Trust,Qty 400000,Price 1390.7,% Traded 0.27,Post Tnx Hold. 0.67%
6,"03 Jun, 2021",Disposal -  Inter-se Transfer,Girdhari T Jalsinghani,Promoter,Qty 3000000,Price 0,% Traded 2.01,Post Tnx Hold. 12.23%
7,"07 Jan, 2021",Disposal -  Market,International Finance Corporation FDI AC,Other,Qty 707152,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"08 Dec, 2020",Disposal -  Market,International Finance Corporation FDI AC,Other,Qty 888385,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"26 Apr, 2019", Ipo,International Finance Corporation FDI AC,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
