,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"26 May, 2021",Disposal -  Market Sale,Mr. Ghanashyam Deshpande,Designated Person,Qty 4000,Price 339.52,% Traded 0.00,Post Tnx Hold. 0.01%
1,"20 May, 2021",Disposal -  Market Sale,Mr. Abhijit Dani,Designated Person,Qty 4000,Price 308.94,% Traded 0.00,Post Tnx Hold. 0.03%
2,"20 May, 2021",Disposal -  Market Sale,Mr. Vikram Pandit,Designated Person,Qty 30000,Price 348.7,% Traded 0.02,Post Tnx Hold. 0%
3,"17 May, 2021",Disposal -  Market Sale,Mr. Sachin Raole,Director,Qty 20000,Price 340.51,% Traded 0.01,Post Tnx Hold. 0.04%
4,"17 May, 2021",Disposal -  Market Sale,Mr. Sachin Raole,Director,Qty 10000,Price 307.34,% Traded 0.01,Post Tnx Hold. 0.03%
5,"13 May, 2021",Disposal -  Market Sale,Mr. Sivaramakrishnan S. Iyer,Director,Qty 120000,Price 341.22,% Traded 0.07,Post Tnx Hold. 0.03%
6,"21 May, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 4015759,Price 0,% Traded 2.19,Post Tnx Hold. 4.32%
7,"07 May, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 434583,Price 0,% Traded 0.24,Post Tnx Hold. 6.51%
8,"05 May, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 434583,Price 0,% Traded 0.24,Post Tnx Hold. 6.51%
9,"12 Apr, 2017",Acquisition -  Market,Sundaram Infrastructure Advantage Fund & Others,Other,Qty 62262,Price 0,% Traded 0.04,Post Tnx Hold. 5.01%
10,"07 Apr, 2017",Acquisition -  Market,Sundaram Infrastructure Advantage Fund,Other,Qty 62265,Price 0,% Traded 0.04,Post Tnx Hold. 0%
11,"05 Apr, 2017",Acquisition -  Market,Sundaram Infrastructure Advantage Fund & PACs,Other,Qty 8980637,Price 0,% Traded 5.01,Post Tnx Hold. 5.01%
