,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"04 Apr, 2017",Acquisition -  Off Market,Razack Family Trust,Promoter,Qty 225000000,Price 0,% Traded 60.00,Post Tnx Hold. 60%
1,"04 Apr, 2017",Disposal -  Off Market,Infan Razack,Promoter & Director,Qty 56250000,Price 0,% Traded 15.00,Post Tnx Hold. 2.5%
2,"04 Apr, 2017",Disposal -  Off Market,Rezwan Razack,Promoter & Director,Qty 56250000,Price 0,% Traded 15.00,Post Tnx Hold. 2.5%
3,"04 Apr, 2017",Disposal -  Off Market,Noaman Razack,Promoter & Director,Qty 56250000,Price 0,% Traded 15.00,Post Tnx Hold. 2.5%
4,"04 Apr, 2017",Disposal -  Off Market,Badrunissa Infan,Promoter,Qty 14062500,Price 0,% Traded 3.75,Post Tnx Hold. 0.63%
5,"04 Apr, 2017",Disposal -  Off Market,Almas Rezwan,Promoter,Qty 14062500,Price 0,% Traded 3.75,Post Tnx Hold. 0.63%
6,"28 Jan, 2020",Acquisition -  Pref. Allotment,Gamnat Pte Ltd,Other,Qty 13441654,Price 0,% Traded 3.46,Post Tnx Hold. 3.46%
7,"04 Nov, 2019",Acquisition -  Market,Aberdeen Standard Investments (Asia) Ltd,Other,Qty 984551,Price 0,% Traded 0.26,Post Tnx Hold. 5.07%
8,"04 Apr, 2017",Disposal -  Off Market,Almas Rezwan,Promoter,Qty 14062500,Price 0,% Traded 3.75,Post Tnx Hold. 0.63%
9,"04 Apr, 2017",Disposal -  Off Market,Badrunissa Irfan,Promoter,Qty 14062500,Price 0,% Traded 3.75,Post Tnx Hold. 0.63%
10,"04 Apr, 2017",Disposal -  Off Market,Faiz Rezwan,Promoter,Qty 4684500,Price 0,% Traded 1.25,Post Tnx Hold. 0.21%
11,"04 Apr, 2017",Disposal -  Off Market,Irfan Razack,Promoter,Qty 56250000,Price 0,% Traded 15.00,Post Tnx Hold. 2.5%
