,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 May, 2021",Acquisition -  Inheritance,Ameeta Aziz Parpia,Director,Qty 77950,Price 131.05,% Traded 0.02,Post Tnx Hold. 0%
1,"28 May, 2021",Acquisition -  Inheritance,Mona Ninad Desai,Directors Immediate Relative,Qty 77949,Price 131.05,% Traded 0.02,Post Tnx Hold. 0%
2,"20 Feb, 2020",Acquisition -  Off Market,BLOOMINGDALE INVESTMENT AND FINANCE PRIVATE LIMITED,Designated Person,Qty 217700,Price 63.75,% Traded 0.04,Post Tnx Hold. 6.26%
3,"20 Feb, 2020",Disposal -  Off Market,PENINSULA ESTATES PRIVATE LIMITED - PARTNER PENINSULA DEVELOPERS,Designated Person,Qty 123700,Price 63.75,% Traded 0.02,Post Tnx Hold. 0%
4,"20 Feb, 2020",Disposal -  Off Market,TROPHY INVESTMENT AND FINANCE PIVATE LIMITED,Designated Person,Qty 20000,Price 63.75,% Traded 0.00,Post Tnx Hold. 0%
5,"20 Feb, 2020",Disposal -  Off Market,COLONNADE HOUSING PRIVATE LIMITED,Designated Person,Qty 14000,Price 63.75,% Traded 0.00,Post Tnx Hold. 0%
6,"01 Aug, 2018",Disposal -  Market,HDFC Trustee Company Ltd,Other,Qty 12633399,Price 0,% Traded 2.51,Post Tnx Hold. 2.75%
7,"21 Mar, 2018",Disposal -  Market,HDFC Trustee Company Ltd - HDFC Mutual Fund,Other,Qty 10514791,Price 0,% Traded 2.09,Post Tnx Hold. 5.26%
8,"21 Dec, 2016",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 10254791,Price 0,% Traded 2.03,Post Tnx Hold. 7.35%
9,"28 Nov, 2016",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 3000000,Price 0,% Traded 0.60,Post Tnx Hold. 5.31%
