,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"05 Apr, 2021",Acquisition -  ESOP,Ajay Kumar Kalra,Employee,Qty 1600,Price 1400,% Traded 0.00,Post Tnx Hold. 0.01%
1,"09 Mar, 2021",Acquisition -  ESOP,Nitin Sood,KMP,Qty 32000,Price 1400,% Traded 0.06,Post Tnx Hold. 0.1%
2,"14 Aug, 2020",Acquisition -  Public Right,Pramod Arora,Designated Person,Qty 5606,Price 784,% Traded 0.01,Post Tnx Hold. 0.12%
3,"13 Aug, 2020",Acquisition -  Public Right,Selena Bijli,Promoter Group,Qty 14715,Price 784,% Traded 0.03,Post Tnx Hold. 0.38%
4,"13 Aug, 2020",Acquisition -  Public Right,Aamer Krishan Bijli,Promoter Group,Qty 5668,Price 784,% Traded 0.01,Post Tnx Hold. 0.15%
5,"13 Aug, 2020",Acquisition -  Public Right,Gautam Dutta,Designated Person,Qty 4313,Price 784,% Traded 0.01,Post Tnx Hold. 0.09%
6,"04 Feb, 2021",Disposal -  Market,Gray Birch Investment Ltd & Berry Creek Investment Ltd,Other,Qty 2150000,Price 0,% Traded 3.54,Post Tnx Hold. 8.03%
7,"04 Feb, 2021",Disposal -  Market,Multiple Pvt Equity Fund I Ltd & PACs,Other,Qty 1179462,Price 0,% Traded 1.94,Post Tnx Hold. 6.88%
8,"04 Feb, 2021",Disposal -  Market,Multiples Pvt Equity Fund & PACs,Other,Qty 1179462,Price 0,% Traded 1.94,Post Tnx Hold. 6.88%
9,"16 Dec, 2020",Disposal -  Market,Multiples Private Equity Fund I Ltd & PACs,Other,Qty 1200000,Price 0,% Traded 2.17,Post Tnx Hold. 9.71%
10,"16 Dec, 2020",Disposal -  Market,Multiple Pvt Equity Fund & PACs,Other,Qty 1200000,Price 0,% Traded 2.17,Post Tnx Hold. 9.71%
11,"13 Nov, 2020",Disposal -  Market,ICICI Prudential Mutual Fund,Other,Qty 66601,Price 0,% Traded 0.12,Post Tnx Hold. 7.3%
