,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 Mar, 2021",Disposal -  Market Sale,Krishan Pal Singh,KMP,Qty 2102,Price 567.32,% Traded 0.00,Post Tnx Hold. 0%
1,"16 Feb, 2021",Acquisition -  Market Purchase,Mukesh Agarwal,Designated Person,Qty 5000,Price 512.6,% Traded 0.00,Post Tnx Hold. 0%
2,"17 Sep, 2019",Acquisition -  Market Purchase,Shailja Devi Revised,Immediate Relative,Qty 207950,Price 331.64,% Traded 0.16,Post Tnx Hold. 0.16%
3,"07 Feb, 2019",Acquisition -  ESOP,Krishan Pal Singh,Director,Qty 15000,Price 104.72,% Traded 0.01,Post Tnx Hold. 0.03%
4,"07 Feb, 2019",Disposal -  Market,Krishan Pal Singh,Director,Qty 15000,Price 423.01,% Traded 0.01,Post Tnx Hold. 0.02%
5,"07 Feb, 2019",Disposal -  Market,Krishan Pal Singh,Director,Qty 1000,Price 430.72,% Traded 0.00,Post Tnx Hold. 0.02%
6,"18 Jan, 2018",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 452148,Price 0,% Traded 0.33,Post Tnx Hold. 3.65%
7,"09 Oct, 2017",Disposal -  Market,Reliance Capital Trustee Co Ltd,Other,Qty 3500000,Price 0,% Traded 2.62,Post Tnx Hold. 5.66%
8,"04 Oct, 2017",Disposal -  Market,Reliance Mutual Fund,Other,Qty 3500000,Price 0,% Traded 2.62,Post Tnx Hold. 5.66%
9,"12 Aug, 2016",Disposal -  Market,HSBC Global Investment Funds,,Qty 4600000,Price 0,% Traded 3.46,Post Tnx Hold. 2.4%
10,"07 Jun, 2016",Acquisition -  Market,TIMF Holdings,Other,Qty 1830129,Price 0,% Traded 1.38,Post Tnx Hold. 6.22%
11,"01 Jun, 2016",Acquisition -  Inter-se Transfer,Shailaja Finance Ltd,Promoter,Qty 33888011,Price 0,% Traded 25.47,Post Tnx Hold. 34.11%
