,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021",Disposal -  Inter-se Transfer,THE RAMARAJU SURGICAL COTTON MILLS LIMITED,Promoter Group,Qty 134825,Price 986,% Traded 0.06,Post Tnx Hold. 1.4%
1,"01 Apr, 2021",Acquisition -  Inter-se Transfer,RAMCO INDUSTRIES LIMITED,Promoter Group,Qty 134825,Price 988.88,% Traded 0.06,Post Tnx Hold. 21.15%
2,"19 Mar, 2021", Creation Of Pledge,P R VENKETRAMA RAJA,Promoter,Qty 800000,Price 500,% Traded 0.34,Post Tnx Hold. 0.83%
3,"04 Mar, 2021", Pledge Released,P R VENKETRAMA RAJA,Promoter,Qty 200000,Price 993.5,% Traded 0.08,Post Tnx Hold. 0.83%
4,"11 Feb, 2021",Disposal -  Market Sale,M/S.SRI VISHNU SHANKAR MILL LIMITED,Promoter Group,Qty 154000,Price 931.59,% Traded 0.07,Post Tnx Hold. 1.31%
5,"09 Feb, 2021",Acquisition -  Inter-se Transfer,RAMCO INDUSTRIES LIMITED,Promoter Group,Qty 176000,Price 933.72,% Traded 0.07,Post Tnx Hold. 21.09%
6,"29 Oct, 2019",Acquisition -  Market,Kotak Mahindra Mutual Fund,Other,Qty 42000,Price 0,% Traded 0.01,Post Tnx Hold. 5%
7,"19 Jul, 2019",Acquisition -  Shares Purchased,L&T Mutual Fund,Other,Qty 43374,Price 0,% Traded 0.02,Post Tnx Hold. 5.01%
8,"29 Aug, 2018",Acquisition -  -,Rajapalayam Mills Ltd,Other,Qty 160000,Price 0,% Traded 0.07,Post Tnx Hold. 0%
9,"29 Aug, 2018",Acquisition -  -,Ramco Industries Ltd,Other,Qty 148000,Price 0,% Traded 0.06,Post Tnx Hold. 0%
10,"18 Aug, 2018",Acquisition -  ,Ramco Industries Ltd (Revised),Promoter,Qty 160000,Price 0,% Traded 0.07,Post Tnx Hold. 0%
11,"17 Aug, 2018",Acquisition -  ,Rajapalayam Mills Ltd (Revised),Promoter,Qty 160000,Price 0,% Traded 0.07,Post Tnx Hold. 0%
