,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Apr, 2021",Acquisition -  Market Purchase,J. K. INVESTORS (BOMBAY) LIMITED,Promoter Group,Qty 45000,Price 364.54,% Traded 0.07,Post Tnx Hold. 28.54%
1,"31 Mar, 2021",Acquisition -  Market Purchase,J. K. INVESTO TRADE (INDIA) LIMITED,Promoter Group,Qty 118000,Price 361.53,% Traded 0.18,Post Tnx Hold. 12.43%
2,"31 Mar, 2021",Acquisition -  Market Purchase,J. K. INVESTORS (BOMBAY) LIMITED,Promoter Group,Qty 25000,Price 360.08,% Traded 0.04,Post Tnx Hold. 28.47%
3,"30 Mar, 2021",Acquisition -  Market Purchase,J. K. INVESTO TRADE (INDIA) LIMITED,Promoter Group,Qty 161384,Price 351.83,% Traded 0.24,Post Tnx Hold. 12.25%
4,"26 Mar, 2021",Acquisition -  Market Purchase,J. K. INVESTORS (BOMBAY) LIMITED,Promoter,Qty 220279,Price 338.02,% Traded 0.33,Post Tnx Hold. 28.44%
5,"06 Apr, 2020",Acquisition -  Conversion of security,J. K. INVESTO TRADE  INDIA  LIMITED,Promoter Group,Qty 1854599,Price 674,% Traded 2.87,Post Tnx Hold. 12.01%
6,"26 Mar, 2021",Acquisition -  Market,J K Investors (Bombay) Ltd,Promoter,Qty 220279,Price 0,% Traded 0.34,Post Tnx Hold. 28.44%
7,"06 Apr, 2020",Acquisition -  Conversion Of Compulsory Convertible Preference Shares,J. K. Investo Trade (India) Ltd,Promoter,Qty 1854599,Price 0,% Traded 2.79,Post Tnx Hold. 12.01%
8,"16 Dec, 2019",Acquisition -  Pref. Allotment,J. K. Investo Trade (India) Ltd,Promoter,Qty 3338278,Price 0,% Traded 5.16,Post Tnx Hold. 9.49%
9,"06 Sep, 2017",Disposal -  Market,Life Insurance Corporation of India,Other,Qty 1237929,Price 0,% Traded 2.01,Post Tnx Hold. 3.51%
10,"07 Oct, 2016",Disposal -  Market,Bharat J Patel & Other,Other,Qty 58732,Price 0,% Traded 0.10,Post Tnx Hold. 4.96%
