,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"02 Apr, 2019",Disposal -  Off Market,The President of India Acting through the Ministry of Power,Promoter,Qty 1039399343,Price 10,% Traded 52.63,Post Tnx Hold. 0%
1,"07 Mar, 2019",Disposal -  Off Market,The President of India Acting through the Ministry of Power,Promoter,Qty 4336057,Price 10,% Traded 0.22,Post Tnx Hold. 52.63%
2,"19 Dec, 2018",Disposal -  Off Market,The President of India acting through the Ministry of Power,Promoter,Qty 101470139,Price 10,% Traded 5.14,Post Tnx Hold. 52.85%
3,"11 Jul, 2018",Disposal -  Off Market,The President of India acting through the Ministry of Power,Promoter,Qty 6473244,Price 108.01,% Traded 0.33,Post Tnx Hold. 57.99%
4,"04 Dec, 2017",Disposal -  Off Market,The President of India acting through the Ministry of Power,Promoter,Qty 10825689,Price 10,% Traded 0.55,Post Tnx Hold. 58.32%
5,"14 Nov, 2017",Disposal -  Market,Geeta Samtani,Employee,Qty 17800,Price 164.5,% Traded 0.00,Post Tnx Hold. 0%
6,"02 Apr, 2020",Acquisition -  Market,HDFC Asset Management Company Ltd,Other,Qty 39954188,Price 0,% Traded 2.02,Post Tnx Hold. 7.15%
7,"23 Apr, 2019",Disposal -  Off Market,PFC Ltd,,Qty 1039399343,Price 0,% Traded 52.63,Post Tnx Hold. 0%
8,"28 Mar, 2019",Acquisition -  Off Market / Inter se transfer,Power Finance Corporation Ltd,Promoter,Qty 1039399343,Price 0,% Traded 52.63,Post Tnx Hold. 52.63%
9,"28 Mar, 2019",Acquisition -  -,Power Finance Corporation Ltd,Other,Qty 1039399343,Price 0,% Traded 52.63,Post Tnx Hold. 0%
10,"20 Mar, 2019",Acquisition -  ,Power Finance Corporation Ltd,Promoter,Qty 1039399343,Price 0,% Traded 52.63,Post Tnx Hold. 0%
11,"24 Dec, 2018",Disposal -  Off Market,"The President of India Ministry of Power,Government of India",Other,Qty 101470139,Price 0,% Traded 5.14,Post Tnx Hold. 52.85%
