,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021",Disposal -  Market Sale,Sukhil Kumar Rajagopal,Designated Person,Qty 7500,Price 250.89,% Traded 0.00,Post Tnx Hold. 0%
1,"03 Jun, 2021",Disposal -  Market Sale,Jeetendra Berry,Designated Person,Qty 9984,Price 252.18,% Traded 0.00,Post Tnx Hold. 0%
2,"03 Jun, 2021",Disposal -  Market Sale,Srinivasababu Vellanki,Designated Person,Qty 6559,Price 242.22,% Traded 0.00,Post Tnx Hold. 0%
3,"03 Jun, 2021",Disposal -  Market Sale,Ashok Veeraragavan,Designated Person,Qty 4280,Price 239.55,% Traded 0.00,Post Tnx Hold. 0.01%
4,"03 Jun, 2021",Disposal -  Market Sale,Rahul Nanda,Designated Person,Qty 13000,Price 241.82,% Traded 0.00,Post Tnx Hold. 0%
5,"03 Jun, 2021",Disposal -  Market Sale,Jeetendra Berry,Designated Person,Qty 3000,Price 257.31,% Traded 0.00,Post Tnx Hold. 0%
6,"02 Jun, 2021",Disposal -  Market,Templeton Asset Management Ltd on behalf of Franklin Templeton Investment Funds,,Qty 431710,Price 0,% Traded 0.11,Post Tnx Hold. 2.98%
7,"30 Aug, 2019",Disposal -  Block Deal,Standard Chartered Pvt Equity (Mauritius) III Ltd & PACs (Revised),Other,Qty 7341668,Price 0,% Traded 1.89,Post Tnx Hold. 0%
8,"30 Aug, 2019",Disposal -  Block Deal,Standard Chartered Pvt Equity (Mauritius) Ltd & PAC (Revised),Other,Qty 3210732,Price 0,% Traded 0.83,Post Tnx Hold. 0%
9,"30 Aug, 2019",Disposal -  Block Deal,Standard Chartered Pvt Equity (Mauritius) III Ltd  (Revised),Other,Qty 7341668,Price 0,% Traded 1.89,Post Tnx Hold. 0%
10,"30 Aug, 2019",Disposal -  Block Deal,Standard Chartered Pvt Equity (Mauritius) Ltd (Revised),Other,Qty 3210732,Price 0,% Traded 0.83,Post Tnx Hold. 0%
11,"21 Aug, 2019",Disposal -  ,ICICI Prudential Life Insurance Company Ltd,Other,Qty 8752727,Price 0,% Traded 5.32,Post Tnx Hold. 5.32%
