,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"31 May, 2021",Disposal -  Market Sale,Rishi Mohan Nayyar,Employee,Qty 200,Price 1130,% Traded 0.00,Post Tnx Hold. 0%
1,"28 May, 2021",Disposal -  Market Sale,Kamal Dutt Sharma,Employee,Qty 1000,Price 1125,% Traded 0.00,Post Tnx Hold. 0%
2,"28 May, 2021",Disposal -  Market Sale,Amit Roy,Employee,Qty 1400,Price 1103.05,% Traded 0.00,Post Tnx Hold. 0%
3,"28 May, 2021",Disposal -  Market Sale,Rishi Mohan Nayyar,Employee,Qty 500,Price 1042.2,% Traded 0.00,Post Tnx Hold. 0%
4,"28 May, 2021",Disposal -  Market Sale,Rishi Mohan Nayyar,Employee,Qty 700,Price 1081.39,% Traded 0.00,Post Tnx Hold. 0%
5,"28 May, 2021",Disposal -  Market Sale,Rishi Mohan Nayyar,Employee,Qty 100,Price 1103.95,% Traded 0.00,Post Tnx Hold. 0%
6,"22 May, 2020",Disposal -  Market,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 456430,Price 0,% Traded 0.18,Post Tnx Hold. 10.55%
7,"22 May, 2020",Disposal -  Market,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 1992277,Price 0,% Traded 0.80,Post Tnx Hold. 10.73%
8,"22 May, 2020",Acquisition -  Market,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 847,Price 0,% Traded 0.00,Post Tnx Hold. 11.53%
9,"22 May, 2020",Acquisition -  Bonus,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 14311170,Price 0,% Traded 5.76,Post Tnx Hold. 11.53%
10,"22 May, 2020",Disposal -  Market,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 64831,Price 0,% Traded 0.05,Post Tnx Hold. 11.53%
11,"22 May, 2020",Disposal -  Market,VLS Finance Ltd and VLS Securities Ltd,Other,Qty 3100,Price 0,% Traded 0.00,Post Tnx Hold. 11.53%
