,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"01 Sep, 2018",Disposal -  Market,R Varadarajan,KMP,Qty 13979,Price 550.36,% Traded 0.02,Post Tnx Hold. 0.01%
1,"01 Sep, 2018",Disposal -  Market,R Varadarajan,KMP,Qty 7899,Price 550.01,% Traded 0.01,Post Tnx Hold. 0.03%
2,"25 Aug, 2018",Disposal -  Market,R Varadarajan,KMP,Qty 3158,Price 581.1,% Traded 0.01,Post Tnx Hold. 0.04%
3,"13 Jun, 2017",Disposal -  Market,Poonam Sen,Employee,Qty 2000,Price 915,% Traded 0.00,Post Tnx Hold. 0%
4,"09 Jun, 2017",Disposal -  Market,M Selvakumarasamy,Employee,Qty 600,Price 768.69,% Traded 0.00,Post Tnx Hold. 0%
5,"09 Jun, 2017",Disposal -  Market,M Selvakumarasamy,Employee,Qty 600,Price 768.9,% Traded 0.00,Post Tnx Hold. 0%
6,"11 Jan, 2021",Disposal -  Market,DSP Trustee Pvt Ltd & Others,Other,Qty 329183,Price 0,% Traded 0.52,Post Tnx Hold. 2.79%
7,"22 Oct, 2020",Disposal -  Market,DSP Trustee Pvt Ltd & DSP Global Services Mauritius Ltd,Other,Qty 79557,Price 0,% Traded 0.13,Post Tnx Hold. 5%
8,"27 Aug, 2020",Acquisition -  Market,Aditya Birla Sun Life Mutual Fund,Other,Qty 792155,Price 0,% Traded 1.26,Post Tnx Hold. 6.13%
9,"10 Jun, 2020",Disposal -  Market,Franklin Templeton Mutual Fund,Other,Qty 428636,Price 0,% Traded 0.68,Post Tnx Hold. 3.38%
10,"03 Mar, 2020",Disposal -  Market,Aditya Birla Sun Life AMC Ltd,Other,Qty 1545908,Price 0,% Traded 2.47,Post Tnx Hold. 4.72%
11,"01 Mar, 2019",Acquisition -  Market,HDFC Mutual Fund: HDFC Trustee Company Ltd A/c- HDFC Capital Builder Value Fund & HDFC Small Cap Fund,Other,Qty 1259000,Price 0,% Traded 2.01,Post Tnx Hold. 7.04%
