,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"20 Nov, 2020",Disposal -  Buy Back,THE PRESIDENT OF INDIA ACTING THROUGH AND REPRESENTED BY MINISTRY OF RAILWAYS GOVERNMENT OF INDIA,Promoter,Qty 6542401,Price 265,% Traded 2.62,Post Tnx Hold. 72.2%
1,"12 Dec, 2019",Disposal -  Market Sale,The President of India acting through and represented by the Ministry of Railways Government of India Promoter,Promoter,Qty 31985,Price 278.83,% Traded 0.01,Post Tnx Hold. 77.39%
2,"12 Dec, 2019",Disposal -  Market Sale,The President of India acting through and represented by the Ministry of Railways Government of India Promoter,Promoter,Qty 31985,Price 278.83,% Traded 0.01,Post Tnx Hold. 77.39%
3,"24 Aug, 2018",Acquisition -  Allotment,Rashmi Agrawal Revised,Employee,Qty 2720,Price 179,% Traded 0.00,Post Tnx Hold. 0.01%
4,"24 Aug, 2018",Disposal -  Market,Rashmi Agrawal Revised,Employee,Qty 900,Price 210.56,% Traded 0.00,Post Tnx Hold. 0.01%
5,"24 Aug, 2018",Disposal -  Market,Rashmi Agrawal Revised,Employee,Qty 500,Price 239,% Traded 0.00,Post Tnx Hold. 0.01%
6,"19 Nov, 2020",Disposal -  Buy-back Offer,"President of India acting through Ministry of Railways, Goverment of India",Promoter,Qty 6542401,Price 0,% Traded 2.61,Post Tnx Hold. 72.2%
7,"02 Mar, 2020",Disposal -  Offer For Sale,"The President of India acting through and represented by the Ministry of Railways,Government of India",Promoter,Qty 13418074,Price 0,% Traded 5.37,Post Tnx Hold. 72.02%
8,"28 Feb, 2020",Acquisition -  Offer For Sale,Life Insurance Corporation of India,Other,Qty 5949595,Price 0,% Traded 2.38,Post Tnx Hold. 7.83%
9,"27 Nov, 2019",Acquisition -  Offer For Sale,Life Insurance Corporation of India,Other,Qty 13628275,Price 0,% Traded 5.45,Post Tnx Hold. 5.45%
10,"26 Nov, 2019",Disposal -  Offer For Sale,"The President of India,acting through & represented by the Ministry of Railways,Government of India",Promoter,Qty 25002767,Price 0,% Traded 10.00,Post Tnx Hold. 77.4%
