,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"17 Feb, 2021",Disposal -  Market Sale,Shrikant Ramdas Makode,Designated Person,Qty 10000,Price 235.2,% Traded 0.00,Post Tnx Hold. 0.05%
1,"17 Feb, 2021",Disposal -  Market Sale,Shrikant Ramdas Makode,Designated Person,Qty 30000,Price 228.93,% Traded 0.01,Post Tnx Hold. 0.04%
2,"16 Feb, 2021",Disposal -  Market Sale,Sanjeev Kumar,Designated Person,Qty 5000,Price 254.56,% Traded 0.00,Post Tnx Hold. 0.02%
3,"15 Feb, 2021",Disposal -  Market Sale,Ravi Kumar Aray,Designated Person,Qty 10000,Price 234.05,% Traded 0.00,Post Tnx Hold. 0.05%
4,"11 Jan, 2021",Disposal -  Market Sale,Chayadeep Ventures LLP,Promoter,Qty 208021,Price 175.87,% Traded 0.08,Post Tnx Hold. 0.27%
5,"18 Dec, 2020",Disposal -  Market Sale,Chayadeep Ventures LLP,Promoter,Qty 8951,Price 173.45,% Traded 0.00,Post Tnx Hold. 0.35%
6,"15 Jan, 2021",Disposal -  Market,UTI Investment Advisory Services Ltd A/c Ascent India Fund III,Other,Qty 5000000,Price 0,% Traded 2.01,Post Tnx Hold. 3.36%
7,"10 Sep, 2020",Disposal -  Off Market,Agnus Holdings Pvt Ltd,Promoter,Qty 21157560,Price 0,% Traded 8.52,Post Tnx Hold. 0%
8,"10 Sep, 2020",Disposal -  Off Market,Chayadeep Ventures LLP,Promoter,Qty 22222701,Price 0,% Traded 8.95,Post Tnx Hold. 1.4%
9,"08 Sep, 2020",Acquisition -  Off Market Transfer,CA Harbor Investments & Cap V Mauritius Ltd,Promoter,Qty 69080261,Price 0,% Traded 27.81,Post Tnx Hold. 53.02%
10,"02 Sep, 2020",Disposal -  Inter-se Transfer,K R Ravishankar,Promoter,Qty 27899930,Price 0,% Traded 11.23,Post Tnx Hold. 0%
11,"28 Aug, 2020",Acquisition -  Inter-se Transfer,Agnus Capital LLP,Promoter,Qty 25700000,Price 0,% Traded 10.35,Post Tnx Hold. 10.35%
