,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"28 Aug, 2020",Disposal -  Off Market,Mr. Tushaar Gautam,Promoter & Director,Qty 1000000,Price 1358.17,% Traded 2.05,Post Tnx Hold. 35.02%
1,"08 Jul, 2019",Acquisition -  Inheritance,Mr. Tushaar Gautam Revised,Promoter,Qty 17561880,Price 0,% Traded 36.00,Post Tnx Hold. 37.07%
2,"04 Jul, 2019",Acquisition -  Inheritance,Mr. Tushaar Gautam,Promoter,Qty 17561880,Price 0,% Traded 36.00,Post Tnx Hold. 37.07%
3,"29 Dec, 2017",Acquisition -  Scheme Of Amalgamation,Rangoli Resorts Pvt Ltd,Promoter,Qty 6551373,Price 0,% Traded 13.43,Post Tnx Hold. 0%
4,"26 Oct, 2020",Acquisition -  Market,Kotak Mahindra Mutual Fund,Other,Qty 35000,Price 0,% Traded 0.07,Post Tnx Hold. 5.06%
5,"01 Sep, 2020",Acquisition -  Market,DSP Trustee Pvt Ltd on behalf of schemes of DSP Mutual Fund & DSP Alternative Investment Fund and DSP Global Services (Mauritius) Ltd,Other,Qty 1000000,Price 0,% Traded 2.05,Post Tnx Hold. 6.02%
6,"03 Jul, 2019",Acquisition -  Transmission,Tushaar Gautam,Promoter,Qty 17561880,Price 0,% Traded 36.00,Post Tnx Hold. 37.07%
7,"29 Mar, 2019",Disposal -  Offer For Sale,Rahul Gautam,Promoter,Qty 3745934,Price 0,% Traded 7.68,Post Tnx Hold. 12.72%
8,"29 Mar, 2019",Disposal -  Offer For Sale,Tushaar Gautam,Promoter,Qty 1463486,Price 0,% Traded 3.00,Post Tnx Hold. 1.07%
9,"28 Mar, 2019",Acquisition -  Market,SBI Funds Management Pvt Ltd,,Qty 1769819,Price 0,% Traded 3.62,Post Tnx Hold. 9.68%
