,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"08 Jan, 2021", Creation Of Pledge,Anbee Constructions LLP (Revised),Promoter Group,Qty 1847500,Price 179,% Traded 2.10,Post Tnx Hold. 11.8%
1,"08 Jan, 2021", Creation Of Pledge,Cape Trading LLP (Revised),Promoter Group,Qty 1847500,Price 179,% Traded 2.10,Post Tnx Hold. 11.8%
2,"08 Jan, 2021", Pledge Released,Chandru Lachmandas Raheja (Revised),Promoter Group,Qty 697500,Price 176,% Traded 0.79,Post Tnx Hold. 0.79%
3,"08 Jan, 2021", Pledge Released,Jyoti Chandru Raheja (Revised),Promoter Group,Qty 747500,Price 176,% Traded 0.85,Post Tnx Hold. 0.85%
4,"08 Jan, 2021", Pledge Released,Neel C. Raheja (Revised),Promoter & Director,Qty 1150000,Price 176,% Traded 1.31,Post Tnx Hold. 1.4%
5,"08 Jan, 2021", Pledge Released,Ravi C. Raheja (Revised),Promoter & Director,Qty 1100000,Price 176,% Traded 1.25,Post Tnx Hold. 1.4%
6,"21 Dec, 2020",Acquisition -  Rights Issue,Ravi C Raheja & Others,Promoter,Qty 15394051,Price 0,% Traded 1.60,Post Tnx Hold. 65.46%
7,"21 Dec, 2020",Acquisition -  Rights Issue,Ravi C Raheja & Others,Promoter,Qty 15394051,Price 0,% Traded 1.60,Post Tnx Hold. 65.46%
8,"05 Nov, 2020",Disposal -  Inter-se Transfer / Gift,Jyoti Chandru Raheja,Promoter,Qty 747500,Price 0,% Traded 0.85,Post Tnx Hold. 0%
9,"30 Oct, 2020",Disposal -  Inter-se Transfer / Gift,Chandru Lachmandas Raheja,Promoter,Qty 697500,Price 0,% Traded 0.79,Post Tnx Hold. 0%
10,"30 Oct, 2020",Acquisition -  Inter-se Transfer / Gift,Neel C Raheja,Promoter,Qty 722500,Price 0,% Traded 0.82,Post Tnx Hold. 2.22%
11,"30 Oct, 2020",Acquisition -  Inter-se Transfer / Gift,Neel C Raheja,Promoter,Qty 722500,Price 0,% Traded 0.82,Post Tnx Hold. 2.22%
