,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Oct, 2020",Acquisition -  Market Purchase,SHRIRAM FINANCIAL VENTURES (CHENNAI) PRIVATE LIMITED,Promoter Group,Qty 4956,Price 951.19,% Traded 0.01,Post Tnx Hold. 0.74%
1,"01 Oct, 2020",Acquisition -  Market Purchase,SHRIRAM FINANCIAL VENTURES (CHENNAI) PVT LIMITED,Promoter Group,Qty 10946,Price 949.93,% Traded 0.02,Post Tnx Hold. 0.67%
2,"01 Oct, 2020",Acquisition -  Market Purchase,SHRIRAM FINANCIAL VENTURES (CHENNAI) PVT LIMITED,Promoter Group,Qty 41937,Price 956.68,% Traded 0.06,Post Tnx Hold. 0.73%
3,"29 Sep, 2020",Acquisition -  Market Purchase,Shriram Financial Ventures (Chennai) Pvt Limited,Promoter Group,Qty 8489,Price 888.37,% Traded 0.01,Post Tnx Hold. 0.58%
4,"29 Sep, 2020",Acquisition -  Market Purchase,Shriram Financial Ventures (Chennai) Pvt Limited,Promoter Group,Qty 46203,Price 9127.38,% Traded 0.07,Post Tnx Hold. 0.65%
5,"25 Sep, 2020",Acquisition -  Market Purchase,Shriram Financial Ventures (Chennai) Private Limited,Promoter Group,Qty 28535,Price 881.98,% Traded 0.04,Post Tnx Hold. 0.52%
6,"07 Sep, 2020",Acquisition -  Inter-se Transfer,Arkaig Acquisition (FPI) Ltd & PACs,Other,Qty 1223810,Price 0,% Traded 1.85,Post Tnx Hold. 22.78%
7,"09 Jul, 2020", Release Of Pledge,Citigroup International Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
8,"09 Jul, 2020", Release Of Pledge,Dynasty Acquisition (FPI) Ltd,Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"09 Jul, 2020", Release Of Pledge,Dynasty Acquisition (FPI) Ltd (Revised),Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 20.35%
10,"06 Aug, 2018",Acquisition -  Market,East Bridge Capital Master Fund Ltd & East Bridge Capital Master Fund I Ltd,Other,Qty 1326719,Price 0,% Traded 2.02,Post Tnx Hold. 5.9%
11,"20 Jun, 2017", Release Of Encumbrances,"Deutsche Bank AG,Hong Kong Branch (Revised)",Other,Qty 0,Price 0,% Traded 0.00,Post Tnx Hold. 0%
