,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"12 Jul, 2019",Acquisition -  Inter-se Transfer / Gift,Leeladevi Satyanarayan Nuwal,Promoter,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
1,"12 Jul, 2019",Disposal -  Inter-se Transfer / Gift,Satyanarayan N Nuwal,Promoter,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 14.62%
2,"25 Mar, 2019",Acquisition -  Market Purchase,Nilesh Panpaliya,KMP,Qty 200,Price 1027.27,% Traded 0.00,Post Tnx Hold. 0.02%
3,"14 Jan, 2019",Acquisition -  Market,Shri Anil Kumar Jain,Director,Qty 705,Price 1011.98,% Traded 0.00,Post Tnx Hold. 0%
4,"08 Jan, 2019",Disposal -  Inter-se Transfer / Gift,Nandlalji Bodulalji Nuwal HUF,Promoter,Qty 2106250,Price 0,% Traded 2.33,Post Tnx Hold. 0%
5,"08 Jan, 2019",Acquisition -  Inter-se Transfer / Gift,Manish Satyanarayan Nuwal,Promoter,Qty 8572448,Price 0,% Traded 9.47,Post Tnx Hold. 27.88%
6,"02 Jun, 2021",Acquisition -  Market,FMR LLC & FIL Ltd,Other,Qty 39465,Price 0,% Traded 0.04,Post Tnx Hold. 5.02%
7,"20 Feb, 2020",Disposal -  Market,HDFC Mutual Fund,Other,Qty 2071366,Price 0,% Traded 2.28,Post Tnx Hold. 4.43%
8,"12 Jul, 2019",Acquisition -  -,Leeladevi Satyanarayan Nuwal,Other,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
9,"12 Jul, 2019",Acquisition -  Inter-se Transfer,Leeladevi Satyanarayan Nuwal & PACs,Promoter,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
10,"12 Jul, 2019",Disposal -  Inter-se Transfer,Satyanarayan Nandlal Nuwal & Leeladevi Satyanarayan Nuwal,Promoter,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 14.62%
11,"03 Jul, 2019",Acquisition -  ,Leeladevi Satyanarayan Nuwal,Promoter,Qty 1000,Price 0,% Traded 0.00,Post Tnx Hold. 0%
