,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"03 Jun, 2021",Disposal -  Market Sale,Sujit Mohanty,Designated Person,Qty 20000,Price 658.86,% Traded 0.02,Post Tnx Hold. 0.09%
1,"03 Jun, 2021",Disposal -  Market Sale,Sujit Mohanty,Designated Person,Qty 5000,Price 659.52,% Traded 0.00,Post Tnx Hold. 0.09%
2,"31 May, 2021",Disposal -  Market Sale,Meera K S,Designated Person,Qty 1085,Price 656,% Traded 0.00,Post Tnx Hold. 0.04%
3,"31 May, 2021",Disposal -  Market Sale,Meera K S,Designated Person,Qty 1000,Price 689,% Traded 0.00,Post Tnx Hold. 0.04%
4,"29 May, 2021",Disposal -  Market Sale,Meera K S,Designated Person,Qty 86,Price 589.5,% Traded 0.00,Post Tnx Hold. 0.04%
5,"29 May, 2021",Disposal -  Market Sale,Meera K S,Designated Person,Qty 5000,Price 652.98,% Traded 0.00,Post Tnx Hold. 0.03%
6,"25 Sep, 2019",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 2167776,Price 0,% Traded 2.06,Post Tnx Hold. 9.16%
7,"28 Feb, 2019",Acquisition -  Market,HDFC Asset Management Company Ltd & PAC,Other,Qty 2116100,Price 0,% Traded 2.01,Post Tnx Hold. 7.1%
8,"03 Oct, 2018",Acquisition -  Market,HDFC Mutual Fund,Other,Qty 100000,Price 0,% Traded 0.10,Post Tnx Hold. 5.09%
9,"21 Feb, 2014",Acquisition -  Market,Hemendra M Kothari,Other,Qty 2158776,Price 0,% Traded 2.05,Post Tnx Hold. 8.23%
