,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"19 Feb, 2021", Creation Of Pledge,RAKSHA VALIA,Promoter Group,Qty 800000,Price 179.35,% Traded 0.31,Post Tnx Hold. 1.58%
1,"28 Jan, 2021", Creation Of Pledge,RAKSHA VALIA,Promoter Group,Qty 880000,Price 184.1,% Traded 0.34,Post Tnx Hold. 1.58%
2,"28 Jan, 2021", Creation Of Pledge,RAKSHA VALIA,Promoter Group,Qty 1080000,Price 184.15,% Traded 0.41,Post Tnx Hold. 1.58%
3,"09 Dec, 2020", Creation Of Pledge,RAKSHA VALIA,Promoter Group,Qty 1340000,Price 188.1,% Traded 0.51,Post Tnx Hold. 1.58%
4,"01 Dec, 2020", Pledge Released,RAKSHA VALIA,Promoter Group,Qty 3400000,Price 181.7,% Traded 1.30,Post Tnx Hold. 1.58%
5,"12 May, 2020", Revocation Of Pledge,RAKSHA VALIA,Promoter Group,Qty 771797,Price 134.3,% Traded 0.29,Post Tnx Hold. 1.58%
6,"25 Oct, 2018",Acquisition -  Scheme Of Amalgamation,Shanghvi Finance Pvt. Ltd. & PACs,Promoter,Qty 132116728,Price 0,% Traded 51.61,Post Tnx Hold. 68.11%
7,"25 Oct, 2018",Disposal -  Scheme Of Amalgamation,Viditi Investment Pvt Ltd & PACs,Promoter,Qty 132116728,Price 0,% Traded 51.61,Post Tnx Hold. 68.11%
8,"21 Dec, 2017",Acquisition -  Conv. of Warrants,Virtuous Finance Pvt Ltd,Promoter,Qty 1616162,Price 0,% Traded 0.64,Post Tnx Hold. 5.35%
9,"26 Aug, 2016",Disposal -  Gift,Kumud S Shanghvi,Promoter,Qty 360000,Price 0,% Traded 0.15,Post Tnx Hold. 0.02%
10,"26 Aug, 2016",Acquisition -  Gift,Vibha Shanghvi,Promoter,Qty 360000,Price 0,% Traded 0.15,Post Tnx Hold. 0.43%
11,"29 Apr, 2016",Acquisition -  Rights Issue,Aalok D Shanghvi,Promoter,Qty 16117,Price 0,% Traded 0.01,Post Tnx Hold. 0.14%
