,date,transc,name,dsgn,qty,price,traded_pc,pth
0,"18 Mar, 2021",Disposal -  Market Sale,Girraj Prashad Gupta,Designated Person,Qty 70000,Price 79,% Traded 0.01,Post Tnx Hold. 0.02%
1,"17 Mar, 2021",Disposal -  Market Sale,Girraj Prashad Gupta,Designated Person,Qty 10000,Price 79.8,% Traded 0.00,Post Tnx Hold. 0.03%
2,"15 Mar, 2021",Disposal -  Market Sale,Girraj Prashad Gupta,Designated Person,Qty 20000,Price 83.4,% Traded 0.00,Post Tnx Hold. 0.03%
3,"10 Mar, 2021",Disposal -  Market Sale,Kalpana Singh,Promoter,Qty 60000,Price 88.8,% Traded 0.01,Post Tnx Hold. 0.38%
4,"10 Mar, 2021",Disposal -  Market Sale,Kalpana Singh,Promoter,Qty 30000,Price 89.05,% Traded 0.00,Post Tnx Hold. 0.37%
5,"09 Mar, 2021",Disposal -  Market Sale,Shreejesh AC,Designated Person,Qty 20000,Price 85,% Traded 0.00,Post Tnx Hold. 0%
6,"12 Mar, 2021",Disposal -  Market,HDFC Mutual Fund,Other,Qty 12107310,Price 0,% Traded 2.01,Post Tnx Hold. 3.03%
7,"20 Mar, 2020",Acquisition -  Market,HDFC Asset Management Co Ltd,Other,Qty 2500000,Price 0,% Traded 0.42,Post Tnx Hold. 5.05%
8,"02 Sep, 2016",Acquisition -  -,Ajay Singh,Other,Qty 350428758,Price 0,% Traded 58.46,Post Tnx Hold. 0%
9,"25 Feb, 2015",Acquisition -  Off Market / Inter se transfer,Ajay Singh,Promoter,Qty 350428758,Price 0,% Traded 58.46,Post Tnx Hold. 60.31%
10,"24 Feb, 2015",Acquisition -  Off Market,Kal Airways Pvt Ltd & PAC,Other,Qty 350428758,Price 0,% Traded 58.46,Post Tnx Hold. 0%
11,"24 Feb, 2015",Acquisition -  Off Market,Kalanithi Maran & PAC,Other,Qty 350428758,Price 0,% Traded 58.46,Post Tnx Hold. 0%
